"Cancer","CellMajor","CellMin1","n","pct"
"BC","B cells","B_C10_LOMO2",79,1.707
"BC","B cells","B_C11_MZB1_PC",52,1.123
"BC","B cells","B_C1_CRIP1",991,21.409
"BC","B cells","B_C2_IGHM_Bn",940,20.307
"BC","B cells","B_C3_HSPA1A",703,15.187
"BC","B cells","B_C4_FCRL1",938,20.264
"BC","B cells","B_C5_IFIT3",366,7.907
"BC","B cells","B_C6_ZZF331",181,3.91
"BC","B cells","B_C7_MKI67",160,3.456
"BC","B cells","B_C8_BACH2",172,3.716
"BC","B cells","B_C9_IGLL5",47,1.015
"BC","Endothelial cells","EC_C10_COL1A2",242,3.276
"BC","Endothelial cells","EC_C11_RROX1",106,1.435
"BC","Endothelial cells","EC_C12_FCN3",66,0.893
"BC","Endothelial cells","EC_C13_MKI67",53,0.717
"BC","Endothelial cells","EC_C1_IGFBP7",2011,27.22
"BC","Endothelial cells","EC_C2_GJA5",852,11.532
"BC","Endothelial cells","EC_C3_HSPA1A",689,9.326
"BC","Endothelial cells","EC_C4_FLT1",345,4.67
"BC","Endothelial cells","EC_C5_ROBO2",351,4.751
"BC","Endothelial cells","EC_C6_ACKR1",1109,15.011
"BC","Endothelial cells","EC_C7_IL6",1125,15.227
"BC","Endothelial cells","EC_C8_IL32",377,5.103
"BC","Endothelial cells","EC_C9_CXCR4",62,0.839
"BC","Epithelial cells","Epithelial",19397,100
"BC","Mast cells","Mast",210,100
"BC","Mesenchymal cells","F_C1_MMP11",14795,41.723
"BC","Mesenchymal cells","F_C2_MIF",7499,21.148
"BC","Mesenchymal cells","F_C3_CXCL12",370,1.043
"BC","Mesenchymal cells","F_C4_IGF1",3085,8.7
"BC","Mesenchymal cells","F_C5_SPP1",359,1.012
"BC","Mesenchymal cells","F_C6_COL2A1",615,1.734
"BC","Mesenchymal cells","F_C7_MKI67",354,0.998
"BC","Mesenchymal cells","F_C8_PLA2G2A",2,0.006
"BC","Mesenchymal cells","Per_C1_RGS5",5406,15.245
"BC","Mesenchymal cells","Per_C2_MYH11",2975,8.39
"BC","Myeloid cells","M_C10_MKI67_Macro",811,3.141
"BC","Myeloid cells","M_C11_MT1G_Macro",157,0.608
"BC","Myeloid cells","M_C12_HSPA1A_Macro",318,1.231
"BC","Myeloid cells","M_C13_MMP9_Macro",241,0.933
"BC","Myeloid cells","M_C14_CD1C_cDC",926,3.586
"BC","Myeloid cells","M_C15_LAMP3_cDC",254,0.984
"BC","Myeloid cells","M_C16_LILRA4_pDC",582,2.254
"BC","Myeloid cells","M_C17_S100A8_Neutro",5388,20.865
"BC","Myeloid cells","M_C18_ISG15_Neutro",1546,5.987
"BC","Myeloid cells","M_C19_AZU1_Neutro",284,1.1
"BC","Myeloid cells","M_C1_IL1B_Mono",3191,12.357
"BC","Myeloid cells","M_C20_CXCL8_Neutro",4,0.015
"BC","Myeloid cells","M_C2_S100A8_Mono",103,0.399
"BC","Myeloid cells","M_C3_FCGR3A_Mono",592,2.293
"BC","Myeloid cells","M_C4_VCAN_Mono",710,2.749
