"Tissue","CellMajor","CellMin1","n","pct"
"BoM","B cells","B_C10_LOMO2",95,0.937
"BoM","B cells","B_C11_MZB1_PC",245,2.417
"BoM","B cells","B_C1_CRIP1",1760,17.364
"BoM","B cells","B_C2_IGHM_Bn",1565,15.44
"BoM","B cells","B_C3_HSPA1A",751,7.409
"BoM","B cells","B_C4_FCRL1",4231,41.742
"BoM","B cells","B_C5_IFIT3",206,2.032
"BoM","B cells","B_C7_MKI67",375,3.7
"BoM","B cells","B_C8_BACH2",624,6.156
"BoM","B cells","B_C9_IGLL5",284,2.802
"BoM","Endothelial cells","EC_C10_COL1A2",220,1.769
"BoM","Endothelial cells","EC_C11_RROX1",156,1.255
"BoM","Endothelial cells","EC_C12_FCN3",63,0.507
"BoM","Endothelial cells","EC_C13_MKI67",283,2.276
"BoM","Endothelial cells","EC_C1_IGFBP7",2848,22.905
"BoM","Endothelial cells","EC_C2_GJA5",1492,11.999
"BoM","Endothelial cells","EC_C3_HSPA1A",582,4.681
"BoM","Endothelial cells","EC_C4_FLT1",2828,22.744
"BoM","Endothelial cells","EC_C5_ROBO2",1228,9.876
"BoM","Endothelial cells","EC_C6_ACKR1",845,6.796
"BoM","Endothelial cells","EC_C7_IL6",424,3.41
"BoM","Endothelial cells","EC_C8_IL32",1147,9.225
"BoM","Endothelial cells","EC_C9_CXCR4",318,2.558
"BoM","Epithelial cells","Epithelial",39392,100
"BoM","Mast cells","Mast",881,100
"BoM","Mesenchymal cells","F_C1_MMP11",19797,39.296
"BoM","Mesenchymal cells","F_C2_MIF",10547,20.935
"BoM","Mesenchymal cells","F_C3_CXCL12",1677,3.329
"BoM","Mesenchymal cells","F_C4_IGF1",4816,9.56
"BoM","Mesenchymal cells","F_C5_SPP1",816,1.62
"BoM","Mesenchymal cells","F_C6_COL2A1",1367,2.713
"BoM","Mesenchymal cells","F_C7_MKI67",670,1.33
"BoM","Mesenchymal cells","F_C8_PLA2G2A",1,0.002
"BoM","Mesenchymal cells","Per_C1_RGS5",7692,15.268
"BoM","Mesenchymal cells","Per_C2_MYH11",2996,5.947
"BoM","Myeloid cells","M_C10_MKI67_Macro",1436,1.882
"BoM","Myeloid cells","M_C11_MT1G_Macro",446,0.584
"BoM","Myeloid cells","M_C12_HSPA1A_Macro",782,1.025
"BoM","Myeloid cells","M_C13_MMP9_Macro",422,0.553
"BoM","Myeloid cells","M_C14_CD1C_cDC",3362,4.406
"BoM","Myeloid cells","M_C15_LAMP3_cDC",685,0.898
"BoM","Myeloid cells","M_C16_LILRA4_pDC",1989,2.606
"BoM","Myeloid cells","M_C17_S100A8_Neutro",19330,25.33
"BoM","Myeloid cells","M_C18_ISG15_Neutro",2502,3.279
"BoM","Myeloid cells","M_C19_AZU1_Neutro",747,0.979
"BoM","Myeloid cells","M_C1_IL1B_Mono",11340,14.86
"BoM","Myeloid cells","M_C20_CXCL8_Neutro",9,0.012
"BoM","Myeloid cells","M_C2_S100A8_Mono",639,0.837
"BoM","Myeloid cells","M_C3_FCGR3A_Mono",2421,3.172
"BoM","Myeloid cells","M_C4_VCAN_Mono",2507,3.285
"BoM","Myeloid cells","M_C5_CCL3_C1QA_Macro",10501,13.76
"BoM","Myeloid cells","M_C6_SPP1_Macro",7905,10.359
"BoM","Myeloid cells","M_C7_TREM2_Macro",3979,5.214
"BoM","Myeloid cells","M_C8_BMP2K_Macro",3711,4.863
"BoM","Myeloid cells","M_C9_ISG15_Macro",1600,2.097
"BoM","Plasma cells","PC_C1_TXNDC5",1341,42.939
"BoM","Plasma cells","PC_C2_GMDS",773,24.752
"BoM","Plasma cells","PC_C3_IGHGP",311,9.958
"BoM","Plasma cells","PC_C4_CD79A",24,0.768
"BoM","Plasma cells","PC_C5_HSPA1A",325,10.407
"BoM","Plasma cells","PC_C7_HLA-DRA",5,0.16
"BoM","Plasma cells","PC_C8_IGHG",324,10.375
"BoM","Plasma cells","PC_C9_IGHA",20,0.64
"BoM","T and NK cells","CD4T_C1_CCR7_Tn",14579,10.978
"BoM","T and NK cells","CD4T_C2_FOXP3_Treg",9107,6.857
"BoM","T and NK cells","CD4T_C3_BACH2",16604,12.503
"BoM","T and NK cells","CD4T_C4_CXCL13",2951,2.222
"BoM","T and NK cells","CD4T_C5_TOX",2759,2.077
"BoM","T and NK cells","CD4T_C6_ISG15",756,0.569
"BoM","T and NK cells","CD8T_C1_HSPA1A",10954,8.248
"BoM","T and NK cells","CD8T_C2_GZMK",16796,12.647
"BoM","T and NK cells","CD8T_C3_PDCD1",12769,9.615
"BoM","T and NK cells","CD8T_C4_XCL1",6192,4.662
"BoM","T and NK cells","CD8T_C5_ISG15",4459,3.358
"BoM","T and NK cells","CD8T_C6_TOX",8717,6.564
"BoM","T and NK cells","CD8T_C7_MKI67",8545,6.434
"BoM","T and NK cells","NK_C1_FCGR3A",4106,3.092
"BoM","T and NK cells","NK_C2_XCL1",3531,2.659
"BoM","T and NK cells","NK_C3_HSPA1A",2392,1.801
"BoM","T and NK cells","NK_C4_CX3CR1",3821,2.877
"BoM","T and NK cells","NK_C5_KLRC2",2238,1.685
"BoM","T and NK cells","NK_C6_NFKB1A",834,0.628
"BoM","T and NK cells","NK_C7_ISG15",694,0.523
"BoM","T and NK cells","NK_C8_CREM",1,0.001
"PT","B cells","B_C10_LOMO2",803,1.695
"PT","B cells","B_C11_MZB1_PC",14,0.03
"PT","B cells","B_C1_CRIP1",14884,31.425
"PT","B cells","B_C2_IGHM_Bn",12515,26.423
"PT","B cells","B_C3_HSPA1A",10737,22.669
"PT","B cells","B_C4_FCRL1",1042,2.2
"PT","B cells","B_C5_IFIT3",3967,8.376
"PT","B cells","B_C6_ZZF331",2070,4.37
"PT","B cells","B_C7_MKI67",465,0.982
"PT","B cells","B_C8_BACH2",33,0.07
"PT","B cells","B_C9_IGLL5",834,1.761
"PT","Endothelial cells","EC_C10_COL1A2",739,3.456
"PT","Endothelial cells","EC_C11_RROX1",802,3.751
