"gene","B cells","Endothelial cells","Epithelial cells","Mast cells","Mesenchymal cells","Myeloid cells","Plasma cells","T and NK cells"
"FAM87B",5e-04,0.001,3e-04,3e-04,0.0062,0.0017,1e-04,3e-04
"FAM41C",0.0096,0.005,0.01,0.0139,0.006,0.011,0.0027,0.0064
"SAMD11",8e-04,0.0058,0.0177,0.0013,0.0609,0.0016,0.0078,0.0011
"NOC2L",0.1766,0.1496,0.1869,0.107,0.1571,0.0822,0.0785,0.1492
"KLHL17",0.0066,0.0106,0.0103,0.0038,0.0119,0.008,0.0049,0.0125
"PLEKHN1",0.0015,0.0034,0.017,0.0031,0.0078,0.0045,0.0205,0.0145
"HES4",0.0467,0.3568,0.2646,0.4144,0.6241,0.2019,0.0129,0.067
"ISG15",0.5007,0.769,0.4433,0.4317,0.7728,0.802,0.2464,0.8173
"AGRN",0.0056,0.3059,0.1121,0.0221,0.0981,0.0256,0.003,0.0085
"RNF223",3e-04,1e-04,0.0228,1e-04,7e-04,3e-04,2e-04,3e-04
"C1orf159",0.024,0.0374,0.0332,0.0203,0.0423,0.0248,0.0096,0.0297
"TTLL10",0.0015,0.0137,0.0055,0.0076,4e-04,6e-04,0.0021,0.0031
"TNFRSF18",0.0264,0.023,0.0562,0.2295,0.0159,0.019,0.2755,0.3499
"TNFRSF4",0.015,0.2718,0.0107,0.3514,0.0174,0.0312,0.1647,0.314
"SDF4",0.1995,0.5357,0.4072,0.309,0.5322,0.249,0.3416,0.3445
"B3GALT6",0.0407,0.0756,0.0554,0.0541,0.0794,0.0448,0.0225,0.055
"C1QTNF12",0.0017,0.0193,0.0077,0.0023,0.0033,0.0023,0.0011,0.002
"UBE2J2",0.1426,0.1834,0.2096,0.1401,0.1822,0.1307,0.0902,0.1678
"SCNN1D",0.0025,0.0034,0.0063,0.0022,0.0061,0.0032,0.0013,0.0031
"ACAP3",0.0282,0.0572,0.0429,0.0498,0.0812,0.0416,0.0404,0.038
"PUSL1",0.0367,0.0322,0.0738,0.0392,0.0539,0.0329,0.0338,0.0486
"INTS11",0.0853,0.1265,0.1452,0.1069,0.1531,0.0762,0.0741,0.1083
"CPTP",0.0308,0.1072,0.0876,0.0196,0.0454,0.0232,0.0436,0.0375
"TAS1R3",0.0043,7e-04,0.002,0.001,3e-04,7e-04,0.0387,0.0012
"DVL1",0.0171,0.0778,0.0793,0.0242,0.0872,0.0258,0.0272,0.0243
"MXRA8",0.0026,0.0251,0.095,0.0034,1.1104,0.0113,0.0046,0.0052
"AURKAIP1",0.3786,0.526,0.9053,0.4422,0.5764,0.464,0.425,0.4659
"CCNL2",0.2412,0.3463,0.2007,0.1897,0.3121,0.1259,0.1489,0.2341
"MRPL20-AS1",0.022,0.0198,0.0292,0.0077,0.0214,0.01,0.0095,0.0235
"MRPL20",0.392,0.5161,0.8697,0.488,0.6032,0.4236,0.3532,0.4503
"ANKRD65",0.0011,0.0811,0.0479,0.0025,0.0861,0.0049,4e-04,9e-04
"VWA1",0.0022,0.9124,0.1338,0.0056,0.2189,0.01,0.0029,0.0039
"ATAD3C",0.009,0.0209,0.0738,0.0129,0.0113,0.0055,0.0713,0.0075
"ATAD3B",0.046,0.0491,0.0467,0.0492,0.0386,0.0303,0.0277,0.0455
"ATAD3A",0.0261,0.0594,0.0726,0.033,0.0534,0.0328,0.0292,0.0319
"TMEM240",7e-04,0.0055,0.0061,0.001,0.0253,9e-04,2e-04,0.001
"SSU72",0.409,0.4344,0.6635,0.411,0.4016,0.3989,0.2337,0.4587
"FNDC10",0.001,0.0039,0.0271,0.0127,0.0182,0.0163,5e-04,0.0047
"MIB2",0.0791,0.089,0.1256,0.1032,0.0928,0.0503,0.0618,0.1399
"MMP23B",0.0023,0.0045,0.0078,0.0116,0.0923,0.0059,0.0077,0.0194
"CDK11B",0.1993,0.1752,0.1134,0.2252,0.1425,0.1354,0.0777,0.1863
"SLC35E2B",0.0867,0.0789,0.0636,0.0342,0.0877,0.0443,0.0479,0.0843
"CDK11A",0.2235,0.1664,0.0933,0.1739,0.1379,0.1231,0.0863,0.2228
"SLC35E2A",0.0286,0.0296,0.0302,0.0122,0.0383,0.0179,0.0163,0.0274
"NADK",0.1085,0.1206,0.1039,0.0375,0.0997,0.274,0.0433,0.0541
"GNB1",0.4284,0.7762,0.3469,0.4985,0.5842,0.7141,0.2532,0.4057
"CALML6",3e-04,2e-04,5e-04,4e-04,0.0018,1e-04,3e-04,2e-04
"CFAP74",6e-04,0.0155,0.0036,5e-04,0.0041,7e-04,4e-04,5e-04
"GABRD",0.001,0.1458,0.0047,0.0013,0.0156,8e-04,5e-04,9e-04
"PRKCZ",0.0323,0.0432,0.0887,0.0454,0.0092,0.0304,0.0217,0.0579
"PRKCZ-AS1",7e-04,0.0017,0.001,0.0018,0.0024,8e-04,1e-04,9e-04
"FAAP20",0.2364,0.2909,0.4488,0.2104,0.3743,0.2358,0.1326,0.249
"SKI",0.1393,0.3239,0.0747,0.2859,0.3478,0.2167,0.0659,0.2247
"MORN1",0.0185,0.0125,0.0363,0.0104,0.0328,0.009,0.0081,0.0099
"RER1",0.2652,0.3647,0.5543,0.3447,0.5063,0.3915,0.3484,0.3686
"PEX10",0.0372,0.0707,0.1195,0.0344,0.0662,0.0386,0.0315,0.0271
"PLCH2",0.0182,0.0018,0.0181,0.0019,6e-04,0.001,0.0032,0.0295
"PANK4",0.0236,0.0338,0.0245,0.014,0.0348,0.016,0.0113,0.0304
"HES5",3e-04,0.0275,0.0038,5e-04,0.0145,9e-04,0.0024,4e-04
"TNFRSF14-AS1",0.0256,0.0196,0.0257,0.0366,0.0078,0.0201,0.0222,0.0312
"TNFRSF14",0.3939,0.3008,0.1799,0.301,0.1514,0.3336,0.1766,0.3985
"PRXL2B",0.0068,0.0396,0.0269,0.0073,0.0191,0.0173,0.0049,0.0137
"MMEL1",5e-04,0.0121,0.0438,0.0116,0.0017,0.0051,4e-04,0.0029
"TTC34",0.0028,0.0017,0.0032,0.0017,0.0027,0.0021,6e-04,0.0019
"PRDM16-DT",0,0.0043,0.0113,1e-04,0.0032,3e-04,0,1e-04
"PRDM16",5e-04,0.038,0.022,0.004,0.0335,0.0019,4e-04,6e-04
"ARHGEF16",6e-04,0.0023,0.0584,6e-04,0.0025,0.0013,0.0027,8e-04
"MEGF6",0.0182,0.0305,0.025,0.0258,0.0274,0.0154,0.0038,0.0178
"TPRG1L",0.0495,0.119,0.0936,0.0558,0.0845,0.0613,0.0409,0.0562
"WRAP73",0.0608,0.0832,0.0723,0.038,0.0622,0.0468,0.0357,0.0824
