"gene","B cells","Endothelial cells","Epithelial cells","Mast cells","Mesenchymal cells","Myeloid cells","Plasma cells","T and NK cells"
"FAM87B",0.04,0.11,0.04,0.03,0.84,0.22,0.05,0.02
"FAM41C",0.83,0.55,1.51,1.11,0.75,1.28,0.92,0.52
"SAMD11",0.09,0.62,1.99,0.1,6.65,0.16,2.24,0.09
"NOC2L",13.95,15.58,23.3,8.91,17.89,10.07,17.47,11.37
"KLHL17",0.53,1.14,1.43,0.36,1.5,0.99,1.43,0.99
"PLEKHN1",0.12,0.38,2.39,0.23,1.01,0.52,5.61,1.16
"HES4",3.33,25.04,25.34,24.63,45.43,13.97,1.82,4.52
"ISG15",28.22,47.74,32.13,27.45,45.49,42.06,29.41,42.24
"AGRN",0.43,26.63,13.84,1.72,10.46,3.25,0.6,0.68
"RNF223",0.03,0.02,2.78,0.01,0.06,0.03,0.06,0.02
"C1orf159",2.11,3.94,4.66,1.91,4.86,3.09,2.65,2.37
"TTLL10",0.13,1.37,0.61,0.71,0.04,0.09,0.76,0.24
"TNFRSF18",2.06,2.16,7.02,16.18,1.9,1.79,43.48,19.04
"TNFRSF4",1.13,19.9,1.29,24.39,1.66,2.96,30.47,16.56
"SDF4",15.71,43.75,41.57,23.71,48.14,26.01,58.39,24.47
"B3GALT6",3.47,8.65,7.85,4.62,10.2,6.06,6.67,4.41
"C1QTNF12",0.15,2.11,0.88,0.17,0.43,0.22,0.22,0.15
"UBE2J2",11.9,18.87,25.9,11.78,21.11,15.14,22.56,13.03
"SCNN1D",0.2,0.34,0.83,0.23,0.69,0.39,0.41,0.23
"ACAP3",2.35,5.91,6,4.03,9.53,4.87,11.1,3.02
"PUSL1",3.06,3.78,10.47,3.35,7.04,4.29,9.71,3.91
"INTS11",7.32,13.06,16.78,9.31,18.06,9.45,17.88,8.48
"CPTP",2.56,11.21,11.8,1.72,5.77,3.14,12.03,3.03
"TAS1R3",0.39,0.08,0.28,0.09,0.04,0.07,10.96,0.09
"DVL1",1.42,8.59,10.21,2.18,10.51,3.24,8.29,1.94
"MXRA8",0.24,2.64,9.21,0.29,68.06,1.05,1.11,0.41
"AURKAIP1",28.68,43.68,66.6,32.92,50.53,40.52,66.98,32.38
"CCNL2",18.77,30.13,23.35,14.77,31.39,13.71,29.4,17.03
"MRPL20-AS1",1.87,2.37,4.03,0.82,2.74,1.37,2.1,1.98
"MRPL20",29.28,42.69,65.6,35.24,52.53,38.15,59.78,31.15
"ANKRD65",0.08,8.45,5.78,0.2,10.41,0.58,0.08,0.07
"VWA1",0.19,50.82,16.02,0.49,22.03,1.09,0.5,0.3
"ATAD3C",0.73,2.19,8.52,1.09,1.36,0.65,18.91,0.6
"ATAD3B",3.93,5.25,6.23,4.3,4.74,3.79,7.97,3.65
"ATAD3A",2.42,6.69,10.04,3.09,6.94,4.35,8.5,2.74
"TMEM240",0.07,0.64,0.82,0.09,3.13,0.1,0.04,0.08
"SSU72",30.38,37.93,56.8,30.61,39.57,36.22,47.12,31.89
"FNDC10",0.1,0.46,3.57,1.21,2.57,2.35,0.13,0.41
"MIB2",6.37,9.34,15.73,8.23,11.07,5.84,16.38,10.34
"MMP23B",0.2,0.45,1.03,0.93,8.14,0.65,2.27,1.43
"CDK11B",15.8,17.77,15.14,17.2,16.45,13.66,18.45,14.15
"SLC35E2B",7.33,8.44,8.79,3.04,9.97,4.97,12.01,6.47
"CDK11A",17.83,16.64,12.68,13.41,15.75,12.65,17.88,16.59
"SLC35E2A",2.67,3.06,3.95,1.15,4.58,2.07,4.03,2.17
"NADK",9.16,12.89,13.88,3.46,11.87,23.08,11.49,4.4
"GNB1",29.49,54.58,36.53,33.91,51.4,51.37,41.49,28.09
"CALML6",0.03,0.02,0.07,0.02,0.2,0.01,0.1,0.01
"CFAP74",0.05,1.68,0.38,0.05,0.43,0.08,0.13,0.05
"GABRD",0.09,11.88,0.65,0.11,1.47,0.1,0.11,0.07
"PRKCZ",2.57,4.77,11.39,3.89,1.14,2.8,6.22,4.51
"PRKCZ-AS1",0.06,0.21,0.13,0.16,0.3,0.07,0.06,0.07
"FAAP20",18.25,27.38,43.01,17.15,37.13,24.64,31.43,18.47
"SKI",10.95,29.99,9.92,20.94,34.64,19.63,14.07,15.95
"MORN1",1.7,1.41,4.87,1.01,3.84,1.07,2.57,0.8
"RER1",20.94,33.54,50.58,26.29,46.54,35.85,60.01,26.47
"PEX10",3.25,7.84,15.51,3.09,8.26,5.15,9.36,2.22
"PLCH2",1.4,0.18,2.32,0.17,0.06,0.11,0.76,2.22
"PANK4",2.02,3.68,3.58,1.28,4.25,2.02,3.15,2.46
"HES5",0.03,2.29,0.44,0.04,1.22,0.1,0.8,0.03
"TNFRSF14-AS1",2.06,1.93,3.23,3.11,0.92,2.26,6.29,2.45
"TNFRSF14",28.68,27.06,21.72,22.66,16.5,30.95,36.47,27.79
"PRXL2B",0.62,4.64,3.64,0.78,2.47,2.14,1.16,1.19
"MMEL1",0.04,1.16,5.78,1,0.17,0.64,0.06,0.24
"TTC34",0.25,0.15,0.4,0.16,0.3,0.26,0.18,0.15
"PRDM16-DT",0,0.44,1.34,0.01,0.4,0.03,0,0.01
"PRDM16",0.04,3.24,2.57,0.54,3.75,0.2,0.11,0.05
"ARHGEF16",0.05,0.23,7.94,0.05,0.26,0.15,0.87,0.06
"MEGF6",1.76,3.03,3.17,2.23,2.91,1.61,0.95,1.35
"TPRG1L",4.34,12.92,12.66,4.85,10.4,6.73,12.58,4.48
"WRAP73",4.9,8.98,10.25,3.28,7.37,5.75,8.97,6.5
"TP73",0.21,0.08,1.52,0.02,0.13,0.12,3.86,0.68
"SMIM1",1,0.7,24.98,19.94,3.44,1.82,17.46,0.89
"LRRC47",5.91,12,16.74,5.62,12.11,6.58,11.35,6.9
"CEP104",6.79,11.49,11.19,4.29,10.42,6.71,12.54,6.56
"DFFB",1.35,2.78,2.05,1.43,2.69,1.73,2.64,1.84
"C1orf174",6.8,8.61,15.28,7.07,10.85,8.17,8,7.37
"AJAP1",0.03,2.82,0.64,0.03,1.37,0.25,0.98,0.03
"NPHP4",1.41,3.25,2.59,1.66,4.28,3.07,4.13,1.26
"KCNAB2",8.93,3.36,1.96,7.33,2.52,27.43,8.64,18.69
"CHD5",0.05,0.07,0.22,0.04,0.14,0.06,0.1,0.05
"RNF207",0.18,1.47,4.93,0.31,2.9,0.34,5.48,1.08
"ICMT",2.49,16.73,13.1,2.68,17.17,6.02,7.4,4.43
"GPR153",0.06,0.61,1.45,3.39,9.53,0.97,0.59,0.33
"ACOT7",1.6,13.16,11.33,31.87,8.71,6.55,3.15,5.61
"HES2",0.11,1,3.53,0.08,0.2,0.38,0.14,0.09
"ESPN",0.08,0.28,10.51,0.09,0.2,0.25,0.52,0.55
"TNFRSF25",0.55,8.5,2.34,0.92,1.71,1.16,2.75,16.44
"PLEKHG5",0.06,9.67,2.04,0.05,2.54,0.67,1.33,0.3
"NOL9",7.26,11.73,8.2,5.25,10.74,5.35,9.17,6.21
"TAS1R1",0.06,0.22,0.14,0.08,0.72,0.2,1.89,0.05
"ZBTB48",4.25,4.98,8.26,10.1,6.08,6.22,5.3,3.68
"KLHL21",2.19,6.1,8.06,3.52,11.11,8.32,14.66,4.34
"PHF13",1.95,5.48,6.44,2.43,10.25,2.25,6.38,1.97
"THAP3",2.98,7.49,11.16,2.78,12.53,4.23,11.6,3.69
"DNAJC11",5.12,8.06,9.31,3.35,9.08,6.18,6.87,4.23
"CAMTA1-DT",0.48,0.82,0.29,0.35,1.47,1.05,1.86,0.27
"CAMTA1",19.44,47.66,55.27,27.99,53.16,34.95,41.81,17.59
"VAMP3",6.13,38.92,27.85,16.05,27.92,26.74,14.8,6.53
"PER3",1.17,12.24,9.05,5.52,22.62,6.83,2.74,2.16
"UTS2",1.13,0.63,0.67,7.54,0.26,3.44,0.85,6.64
"TNFRSF9",0.33,0.75,0.66,18.13,0.49,2.95,2.06,14.9
"PARK7",41.3,60.15,76.77,50.12,72.72,50.01,68.48,52.14
"ERRFI1",2.25,14.37,39.83,4.17,45.64,8.75,4.04,4.72
"SLC45A1",0.11,2.93,0.81,0.06,1.91,0.24,0.17,0.27
"RERE",33.8,39.05,30.24,25.82,38.84,29.54,32.34,15.66
"RERE-AS1",0.26,0.1,0.18,0.26,0.13,0.46,0.15,0.25
"ENO1",38.48,55.11,71.18,46.21,61.72,59.74,45.95,50.48
"ENO1-AS1",0.45,0.48,1.92,0.23,0.41,0.54,1.19,0.47
"CA6",0.02,0.03,0.24,0.01,0.04,0.04,0.03,0.33
"SLC2A7",0.02,0.04,0.01,0.01,0.02,0.02,1.19,0.01
"SLC2A5",5.47,0.26,2.22,0.12,1.54,5.24,10.81,0.15
"GPR157",1.77,1.51,5.33,1.12,2.47,3.86,5.11,0.62
"MIR34AHG",0.33,1.24,1.53,0.43,3.34,2.4,2.78,0.52
"LNCTAM34A",0.11,0.44,0.9,0.19,1,0.4,0.61,0.19
"H6PD",3.28,13.85,10.46,4.52,16.97,8.22,4.54,3.82
"SPSB1",4.05,13.55,10.62,10.51,14.31,3.52,10.14,4.06
"SLC25A33",14.46,12.23,25.71,21.74,18.44,16.48,17.56,8
"TMEM201",0.86,3.7,2.45,1.4,2.79,1.49,0.83,0.97
"PIK3CD",15.15,1.1,1.03,5.73,2.37,17.78,2.14,15.41
"PIK3CD-AS2",3.44,0.36,5.49,3.52,2.85,1.41,14.84,1.49
"CLSTN1",10.78,32.27,22.77,8.26,31.35,12.36,19.34,13.07
"CTNNBIP1",4.02,16.06,27.46,6.02,13.99,15.09,12.08,5.94
"LZIC",8.46,15.8,23.63,10.18,25.74,16.25,8.51,9.94
"NMNAT1",1.94,6.06,5.56,1.43,6.14,4.43,3.16,1.26
"RBP7",0.19,52.17,8.86,0.35,0.99,17.25,0.82,0.31
"UBE4B",9.08,14.04,11.83,8.15,15.72,14.48,18.21,8.66
"KIF1B",5.28,24.91,14.86,7.09,28.3,31,17.25,7.33
"PGD",7.03,9.56,27.05,13.97,15.31,35.25,17.5,6.71
"CENPS",1.49,2.29,7.93,1.34,4.35,1.42,3.51,1.41
"CORT",0.07,0.48,0.58,0.04,0.52,0.11,0.14,0.13
"DFFA",8.04,18.24,18.95,6.07,15.64,8.89,8.39,6.27
"PEX14",5.84,7.33,8.18,5.13,9.65,8.26,12.66,7.25
"CASZ1",3.11,5.73,10.22,2.86,1.64,1.55,2.61,3.85
"C1orf127",0.01,0.01,0.14,0.01,0.05,0.6,0.29,0.01
"TARDBP",15.91,23.08,25.2,12.01,23.89,15.99,19.66,12.62
"MASP2",0.21,0.53,5.9,0.07,0.15,0.58,0.59,0.14
"SRM",11.54,22.09,27.63,11.44,33.07,15.85,58.23,12.62
"EXOSC10",9.36,13.36,11.65,7.25,13.97,8.36,7.98,8.75
"EXOSC10-AS1",0.03,0.15,0.34,0.04,0.3,0.22,0.1,0.06
"MTOR",6.22,11.3,8.1,4.65,10.1,8.07,8.65,6.55
"MTOR-AS1",0.06,0.02,0.01,0.04,0.1,0.05,0.08,0.07
"ANGPTL7",0.13,0.05,0.08,0.04,0.36,0.06,0.04,0.06
"UBIAD1",6.13,6.3,9.53,3.15,6.95,3.84,6.22,4.71
"DISP3",0.13,0.15,0.19,0.01,0.09,0.04,0.1,0.08
"FBXO2",2.19,0.5,10.88,0.22,1.77,0.45,10.23,3.37
"FBXO44",5.37,2.28,10.5,1.77,6.04,2.45,6.72,5.99
"FBXO6",4.77,3.17,11.08,1.72,4.81,9.55,11.44,6.18
"MAD2L2",8.31,14.45,22.39,4.48,14.91,11.61,19.44,10.72
"DRAXIN",0.39,0.48,0.39,0.15,0.75,0.45,0.31,1.03
"AGTRAP",4.63,24.4,30.8,25.34,22.63,30.12,6.89,12.69
"C1orf167",0.1,1.27,1.9,0.05,1.71,0.24,2.23,0.05
"MTHFR",6.92,11.81,10.76,3.43,9.11,13.16,7.7,3.47
"CLCN6",6.64,5.59,4,1.67,6.31,7.54,3.75,1.81
"NPPA",0.19,0.12,0.05,0.07,0.18,0.19,0.08,0.06
"KIAA2013",5.77,16.3,17.52,5.78,15.76,14.15,16.67,5.85
"PLOD1",0.74,21.3,15.21,1.67,24.8,10.99,9.42,1.32
"MFN2",4.24,10.46,13.21,4.83,10.53,10.88,5.44,4.2
