"gene","B_C1_CRIP1","B_C10_LOMO2","B_C11_MZB1_PC","B_C2_IGHM_Bn","B_C3_HSPA1A","B_C4_FCRL1","B_C5_IFIT3","B_C6_ZZF331","B_C7_MKI67","B_C8_BACH2","B_C9_IGLL5"
"FAM87B",6e-04,0,3e-04,2e-04,5e-04,2e-04,3e-04,0.001,0.0018,0.0015,0
"FAM41C",0.0093,0.0066,0.0112,0.0116,0.0078,0.0101,0.0077,0.003,0.0073,0.0111,0.0246
"SAMD11",8e-04,0,0.0021,7e-04,6e-04,0.0013,2e-04,0.0011,7e-04,0.0023,0
"NOC2L",0.188,0.2423,0.1018,0.2249,0.1666,0.0914,0.1949,0.2103,0.1843,0.1103,0.1449
"KLHL17",0.0079,0.0062,0.0016,0.0067,0.0085,0.0056,0.0039,6e-04,0.009,0.0056,0.004
"PLEKHN1",0.0015,0.0015,2e-04,9e-04,0.0018,0.0014,0.0047,0.0025,0,0,0
"HES4",0.0304,0.022,0.0063,0.0589,0.0797,0.0221,0.0691,0.0632,0.011,0.0094,0.0604
"ISG15",0.422,0.506,0.0917,0.4656,0.6011,0.1548,1.8033,0.4121,0.3074,0.1344,0.4038
"AGRN",0.0041,0,0.0016,0.0059,0.0078,0.0041,0.0124,0.0061,0.0037,0.0017,0.0045
"RNF223",2e-04,0,0.001,5e-04,5e-04,2e-04,0,7e-04,0,0,0
"C1orf159",0.0168,0.0092,0.0534,0.0185,0.0151,0.0476,0.0249,0.0088,0.0758,0.0401,0.0179
"TTLL10",9e-04,9e-04,3e-04,0.0018,0.0018,0.0034,3e-04,6e-04,0.0018,0.0017,0.001
"TNFRSF18",0.0175,0.069,0.0018,0.0192,0.0499,0.0294,0.0297,0.0272,0.0198,0.0136,0.0305
"TNFRSF4",0.0124,0.0199,0.0023,0.0143,0.0219,0.0091,0.0137,0.0472,0.0135,0.0058,0.0212
"SDF4",0.2038,0.2288,0.1521,0.2028,0.2178,0.1439,0.2583,0.2302,0.2071,0.1441,0.1536
"B3GALT6",0.0397,0.0359,0.0329,0.0488,0.0413,0.0375,0.0334,0.0179,0.0495,0.0261,0.0684
"C1QTNF12",0.0018,0,0.0053,0.0015,0.0012,0.0016,0.0016,0,0.0016,0.0054,0
"UBE2J2",0.1434,0.2138,0.2351,0.1283,0.119,0.1268,0.1655,0.1104,0.2656,0.1777,0.1351
"SCNN1D",0.0027,0.001,0.0021,0.0034,0.0018,0.0031,0.0019,0,0.0019,0.0025,0.0025
"ACAP3",0.031,0.0099,0.0229,0.0232,0.0298,0.0348,0.0314,0.0121,0.048,0.0219,0.0206
"PUSL1",0.0415,0.0294,0.0071,0.0461,0.0352,0.0198,0.038,0.04,0.0725,0.0057,0.0419
"INTS11",0.0859,0.1977,0.1156,0.0891,0.0742,0.0615,0.0597,0.1151,0.2064,0.099,0.0045
"CPTP",0.0414,0.068,0.0182,0.027,0.0274,0.0127,0.0499,0.0368,0.0431,0.0115,0.0038
"TAS1R3",0.0065,0.0146,0.0035,0.0017,0.0044,0.0014,0.0104,0.0039,0.0043,0,0.0023
