"gene","B_C1_CRIP1","B_C10_LOMO2","B_C11_MZB1_PC","B_C2_IGHM_Bn","B_C3_HSPA1A","B_C4_FCRL1","B_C5_IFIT3","B_C6_ZZF331","B_C7_MKI67","B_C8_BACH2","B_C9_IGLL5"
"FAM87B",0.05,0,0.03,0.01,0.04,0.01,0.02,0.05,0.23,0.16,0
"FAM41C",0.72,0.77,1.43,0.9,0.66,0.96,0.69,0.24,1.29,1.01,1.79
"SAMD11",0.07,0,0.29,0.07,0.05,0.14,0.02,0.1,0.15,0.23,0
"NOC2L",14.17,22.39,12.41,16.16,12.83,8.11,16.65,13.14,26.79,9.78,10.81
"KLHL17",0.62,0.66,0.19,0.48,0.63,0.45,0.38,0.05,1.52,0.47,0.27
"PLEKHN1",0.12,0.11,0.03,0.06,0.15,0.12,0.41,0.14,0,0,0
"HES4",2.15,1.76,0.75,3.97,5.63,1.8,5.29,4.01,1.52,0.62,4.38
"ISG15",25.18,35.68,10.95,26.7,33.68,12.41,77.03,22.71,32.42,9.62,25.29
"AGRN",0.29,0,0.19,0.43,0.56,0.34,1.15,0.39,0.46,0.16,0.45
"RNF223",0.02,0,0.06,0.04,0.03,0.01,0,0.05,0,0,0
"C1orf159",1.33,0.88,6.12,1.39,1.16,3.88,2.13,0.53,11.34,3.49,1.16
"TTLL10",0.08,0.11,0.03,0.13,0.14,0.34,0.02,0.05,0.38,0.16,0.09
"TNFRSF18",1.31,6.37,0.19,1.4,3.71,2.53,2.61,1.74,2.66,1.24,2.06
"TNFRSF4",0.93,1.76,0.26,1.03,1.6,0.78,1.17,2.85,1.6,0.47,1.52
"SDF4",15.3,21.3,18.7,14.43,16,12.44,21.51,14.4,29.6,12.72,11.17
"B3GALT6",3.23,3.84,4.28,3.71,3.25,3.41,3.07,1.21,8.45,2.25,5.54
"C1QTNF12",0.14,0,0.65,0.1,0.1,0.12,0.14,0,0.3,0.47,0
"UBE2J2",10.98,20.86,27.03,9.35,9.15,10.9,14.11,7.29,37.14,15.75,9.92
"SCNN1D",0.19,0.11,0.23,0.23,0.14,0.29,0.19,0,0.23,0.23,0.18
"ACAP3",2.36,1.21,2.79,1.7,2.36,3,2.8,0.77,7.91,1.71,1.43
"PUSL1",3.22,3.4,0.97,3.46,2.81,1.84,3.45,2.85,11.8,0.54,3.13
"INTS11",6.84,18.66,14.03,6.73,5.89,5.49,5.39,7.34,29.45,8.69,0.36
"CPTP",3.24,6.15,2.24,2.04,2.16,1.16,4.57,2.37,6.54,0.93,0.27
"TAS1R3",0.53,1.54,0.42,0.13,0.36,0.14,1.08,0.29,0.76,0,0.18
"DVL1",1.52,0.77,1.26,1.37,1.52,1.75,1.1,0.19,3.12,1.09,0.36
"MXRA8",0.11,0,1.33,0.08,0.12,0.59,0.12,0.14,0.46,0.85,0.09
"AURKAIP1",29.88,52.69,38.85,25.65,25.66,19.03,36.5,20.19,71.77,29.33,30.03
"CCNL2",18.62,24.92,31.24,18.91,17.56,15.27,18.47,11.26,35.39,17.84,11.71
"MRPL20-AS1",1.91,5.71,0.19,2.56,1.11,1.54,1.84,2.37,3.96,2.25,0.09
"MRPL20",30.93,52.14,37.91,26.27,24.94,23.79,36.89,22.46,59.44,27.93,30.56
"ANKRD65",0.08,0.22,0.13,0.07,0.04,0.1,0.1,0,0.15,0.39,0
