"gene","EC_C1_IGFBP7","EC_C10_COL1A2","EC_C11_RROX1","EC_C12_FCN3","EC_C13_MKI67","EC_C2_GJA5","EC_C3_HSPA1A","EC_C4_FLT1","EC_C5_ROBO2","EC_C6_ACKR1","EC_C7_IL6","EC_C8_IL32","EC_C9_CXCR4"
"FAM87B",0.0013,0.0026,0,0.0037,0.0013,9e-04,0.0011,0.001,0.0012,0,7e-04,3e-04,0
"FAM41C",0.0042,0.0071,0.0067,0.0023,0.0066,0.0071,0.0057,0.0042,0.005,0.0042,0.0043,0.0057,0.0026
"SAMD11",0.0031,0.0089,0.0014,0.0059,0.0018,0.0027,0.0044,0.002,0.0055,0.019,0.015,0.0029,0.0045
"NOC2L",0.127,0.201,0.1489,0.0967,0.1871,0.1615,0.1104,0.1847,0.1608,0.1589,0.1513,0.1887,0.1292
"KLHL17",0.0069,0.0091,0.0136,0.0079,0.0023,0.0115,0.0091,0.021,0.0065,0.0064,0.0046,0.0222,0.0242
"PLEKHN1",0.0029,0.0046,0.0023,0,0.0023,0.0015,0.002,0.0041,0.0032,0.0044,0.0059,0.0022,0.0103
"HES4",0.3048,0.6657,0.2997,0.0587,0.2829,0.8614,0.2242,0.6471,0.1403,0.0563,0.1041,0.3808,0.2452
"ISG15",0.7218,0.93,0.5154,0.6032,0.7898,1.0913,0.8927,0.8303,0.4954,0.5413,0.6897,0.8792,0.7994
"AGRN",0.2734,0.3005,0.1232,0.156,0.3496,0.3502,0.2012,0.6014,0.2608,0.2864,0.2034,0.4832,0.1425
"RNF223",0,0.0013,0,0,0,0,0,1e-04,0,8e-04,1e-04,0,0
"C1orf159",0.0259,0.034,0.013,0.05,0.0316,0.0445,0.0373,0.0459,0.0593,0.0397,0.029,0.0402,0.0346
"TTLL10",0.015,0.0175,0.0022,0.0179,0,0.0293,0.0225,0.0071,0.0069,0.0063,0.0091,0.0086,0.0075
"TNFRSF18",0.013,0.0251,0.0359,0.005,0.0064,0.0348,0.0083,0.0188,0.0098,0.0048,0.0088,0.0336,0.1751
"TNFRSF4",0.2877,0.2968,0.2494,0.0878,0.1431,0.3996,0.226,0.4211,0.0971,0.0356,0.0623,0.7195,0.3063
"SDF4",0.4901,0.6251,0.4355,0.431,0.5754,0.7044,0.4564,0.6153,0.4268,0.5243,0.545,0.6713,0.3902
"B3GALT6",0.0594,0.0798,0.0508,0.072,0.1066,0.0829,0.0521,0.1113,0.0898,0.0661,0.0622,0.127,0.068
"C1QTNF12",0.0132,0.0174,0,0,0.0173,0.034,0.0126,0.0489,0.016,0.005,0.0073,0.0281,0.0218
"UBE2J2",0.1551,0.1741,0.1638,0.1566,0.2569,0.2068,0.1653,0.2223,0.182,0.1852,0.1832,0.2473,0.149
"SCNN1D",0.0023,0.0031,0.006,0.0016,0.0015,0.0027,0.0053,0.0029,0.0036,0.0048,0.0032,0.006,9e-04
"ACAP3",0.0465,0.0826,0.0265,0.0309,0.0769,0.0667,0.0608,0.0691,0.059,0.0553,0.0371,0.0773,0.0689
"PUSL1",0.0322,0.0422,0.0219,0.0207,0.0815,0.0334,0.0238,0.0309,0.0273,0.0274,0.0294,0.0568,0.0367
"INTS11",0.0884,0.0944,0.124,0.0702,0.2063,0.1271,0.112,0.1892,0.166,0.1274,0.0969,0.1756,0.1465
"CPTP",0.1048,0.1032,0.0577,0.1088,0.1423,0.1365,0.1068,0.1242,0.0848,0.1105,0.0812,0.1429,0.0626
"TAS1R3",0.001,0,0.0017,0,0,4e-04,8e-04,5e-04,5e-04,1e-04,0.0012,2e-04,0.0017
