"gene","EC_C1_IGFBP7","EC_C10_COL1A2","EC_C11_RROX1","EC_C12_FCN3","EC_C13_MKI67","EC_C2_GJA5","EC_C3_HSPA1A","EC_C4_FLT1","EC_C5_ROBO2","EC_C6_ACKR1","EC_C7_IL6","EC_C8_IL32","EC_C9_CXCR4"
"FAM87B",0.12,0.37,0,0.46,0.24,0.1,0.1,0.15,0.14,0,0.07,0.05,0
"FAM41C",0.35,0.84,0.61,0.23,1.18,0.79,0.62,0.51,0.65,0.43,0.59,0.8,0.25
"SAMD11",0.2,1.22,0.1,0.91,0.24,0.29,0.37,0.3,0.84,1.75,1.96,0.37,0.44
"NOC2L",10.1,27.25,11.95,8.2,24.94,16.77,10.34,20.21,20.23,15.91,19.29,22.11,12.45
"KLHL17",0.6,1.4,1.33,0.68,0.47,1.32,0.82,2.54,0.89,0.58,0.69,2.48,2.02
"PLEKHN1",0.22,0.56,0.31,0,0.47,0.19,0.2,0.51,0.41,0.55,0.82,0.33,0.88
"HES4",18.71,52.15,22.17,5.01,27.29,55.26,16.11,44.67,14,5.75,10.76,30.82,17.64
"ISG15",38.46,65.17,31.26,33.71,57.65,63.12,47.18,54.95,40.7,39.2,52.73,59.06,47.85
"AGRN",19.59,33.99,10.73,12.3,36.71,31.13,16.53,49.72,29,25.32,22.03,42.72,13.27
"RNF223",0,0.19,0,0,0,0,0,0.03,0,0.06,0.03,0,0
"C1orf159",2.07,5.06,1.33,4.1,4.71,4.55,3.15,5.21,7.15,4.15,3.6,5.2,3.6
"TTLL10",1.24,2.62,0.2,1.59,0,2.96,2.02,0.74,0.87,0.65,1.24,0.98,0.82
"TNFRSF18",1.16,3.37,2.76,0.46,0.94,3.6,1,2.11,1.25,0.49,1.21,3.75,11.69
"TNFRSF4",17.97,29.68,18.59,5.92,13.65,30.73,16.18,32.83,10.37,3.72,6.86,45.43,21.49
"SDF4",32.86,59.08,32.99,28.93,56,54.83,34.89,52.67,45.65,44.22,52.63,56.35,32.24
"B3GALT6",5.28,12.36,5.11,5.24,15.29,9.31,5.34,13.41,12.67,7.26,8.37,15.5,6.83
"C1QTNF12",1.06,1.97,0,0,2.82,3.76,1,5.82,2.33,0.55,0.92,3.42,1.83
"UBE2J2",12.37,24.44,13.99,12.07,32,21.1,14.76,24.71,23.48,18.65,22.07,28.52,14.48
"SCNN1D",0.16,0.56,0.61,0.23,0.24,0.27,0.42,0.43,0.41,0.37,0.42,0.7,0.13
"ACAP3",3.63,11.52,2.25,2.73,11.06,6.95,4.92,7.95,7.58,5.57,4.67,9.04,6.7
"PUSL1",2.72,6.18,2.35,2.05,10.35,4.07,2.57,4.09,4.22,3.45,4.09,7.49,3.41
"INTS11",6.6,11.8,10.21,5.24,25.88,13.22,9.34,21.58,21.99,12.46,11.64,20.05,14.16
"CPTP",8.76,14.61,5.41,8.66,18.59,14.11,9.47,14.53,11.54,11.45,10.49,16.44,6.26
"TAS1R3",0.09,0,0.1,0,0,0.06,0.07,0.03,0.08,0.03,0.2,0.05,0.25
"DVL1",4.61,11.7,4.49,3.42,9.41,9.45,6.97,12.98,12.62,9.08,10.2,12.22,5.88
"MXRA8",0.95,28.18,1.43,1.59,4.71,2.17,0.9,2.89,3.57,1.85,2.16,2.95,1.01
"AURKAIP1",34.54,61.52,33.81,32.57,62.59,46.56,37.54,48.27,45.98,44.4,54.82,58.64,36.73
"CCNL2",18.29,39.89,18.49,16.63,34.82,31.07,27.52,40.55,47.47,32.43,30.86,34.71,28.57
"MRPL20-AS1",1.32,2.06,1.23,0.46,4,2.48,0.9,6.2,3.01,1.91,1.47,4.5,1.9
"MRPL20",32.22,58.71,40.35,34.4,59.53,45.01,35.51,48.22,47.63,45.32,53.25,54.99,36.66
"ANKRD65",7.5,13.01,1.53,2.51,7.76,6.1,7.89,11.86,7.93,8.65,13.27,11.9,3.98
"VWA1",48.9,59.55,7.97,19.59,69.65,30.2,40.48,84.43,60.06,49.75,54.07,81.59,24.91
"ATAD3C",1.56,3.84,1.74,0.68,4.24,1.61,1.97,3.33,2.84,1.88,2.75,3.04,1.45
"ATAD3B",3.11,7.87,2.35,1.82,10.82,5.6,4.22,6.55,8.83,4.62,5.52,7.12,5.56
"ATAD3A",4.3,9.18,3.47,3.19,20.24,7.53,4.57,8.68,9.04,6.09,7.16,12.74,3.03
"TMEM240",0.34,1.03,0.2,0,2.12,0.39,0.45,1.8,0.73,0.71,0.33,1.08,0.19
