"gene","Epithelial"
"FAM87B",3e-04
"FAM41C",0.01
"SAMD11",0.0177
"NOC2L",0.1869
"KLHL17",0.0103
"PLEKHN1",0.017
"HES4",0.2646
"ISG15",0.4433
"AGRN",0.1121
"RNF223",0.0228
"C1orf159",0.0332
"TTLL10",0.0055
"TNFRSF18",0.0562
"TNFRSF4",0.0107
"SDF4",0.4072
"B3GALT6",0.0554
"C1QTNF12",0.0077
"UBE2J2",0.2096
"SCNN1D",0.0063
"ACAP3",0.0429
"PUSL1",0.0738
"INTS11",0.1452
"CPTP",0.0876
"TAS1R3",0.002
"DVL1",0.0793
"MXRA8",0.095
"AURKAIP1",0.9053
"CCNL2",0.2007
"MRPL20-AS1",0.0292
"MRPL20",0.8697
"ANKRD65",0.0479
"VWA1",0.1338
"ATAD3C",0.0738
"ATAD3B",0.0467
"ATAD3A",0.0726
"TMEM240",0.0061
"SSU72",0.6635
"FNDC10",0.0271
"MIB2",0.1256
"MMP23B",0.0078
"CDK11B",0.1134
"SLC35E2B",0.0636
"CDK11A",0.0933
"SLC35E2A",0.0302
"NADK",0.1039
"GNB1",0.3469
"CALML6",5e-04
"CFAP74",0.0036
"GABRD",0.0047
"PRKCZ",0.0887
"PRKCZ-AS1",0.001
"FAAP20",0.4488
"SKI",0.0747
"MORN1",0.0363
"RER1",0.5543
"PEX10",0.1195
"PLCH2",0.0181
"PANK4",0.0245
"HES5",0.0038
"TNFRSF14-AS1",0.0257
"TNFRSF14",0.1799
"PRXL2B",0.0269
"MMEL1",0.0438
"TTC34",0.0032
"PRDM16-DT",0.0113
"PRDM16",0.022
"ARHGEF16",0.0584
"MEGF6",0.025
"TPRG1L",0.0936
"WRAP73",0.0723
"TP73",0.0109
"SMIM1",0.247
"LRRC47",0.1285
"CEP104",0.0817
"DFFB",0.0147
"C1orf174",0.115
"AJAP1",0.0048
"NPHP4",0.0192
"KCNAB2",0.0151
"CHD5",0.0019
"RNF207",0.0348
"ICMT",0.0961
"GPR153",0.0091
"ACOT7",0.09
"HES2",0.0253
"ESPN",0.0838
"TNFRSF25",0.0169
"PLEKHG5",0.0136
"NOL9",0.0609
"TAS1R1",0.001
"ZBTB48",0.0593
"KLHL21",0.0581
"PHF13",0.046
"THAP3",0.0813
"DNAJC11",0.0694
"CAMTA1-DT",0.0025
"CAMTA1",0.6321
"VAMP3",0.237
"PER3",0.0736
"UTS2",0.0044
"TNFRSF9",0.005
"PARK7",1.2932
"ERRFI1",0.5285
"SLC45A1",0.0055
"RERE",0.2965
"RERE-AS1",0.0012
"ENO1",1.2493
"ENO1-AS1",0.0142
"CA6",0.0019
"SLC2A7",1e-04
"SLC2A5",0.0186
"GPR157",0.0359
"MIR34AHG",0.0123
"LNCTAM34A",0.0069
"H6PD",0.0796
"SPSB1",0.0873
"SLC25A33",0.2286
"TMEM201",0.016
"PIK3CD",0.0083
"PIK3CD-AS2",0.0435
"CLSTN1",0.1931
"CTNNBIP1",0.2455
"LZIC",0.194
"NMNAT1",0.0406
"RBP7",0.0734
"UBE4B",0.0883
"KIF1B",0.1167
"PGD",0.2459
"CENPS",0.0634
"CORT",0.004
"DFFA",0.1447
"PEX14",0.057
"CASZ1",0.0797
"C1orf127",0.0011
