"gene","Epithelial"
"FAM87B",0.04
"FAM41C",1.51
"SAMD11",1.99
"NOC2L",23.3
"KLHL17",1.43
"PLEKHN1",2.39
"HES4",25.34
"ISG15",32.13
"AGRN",13.84
"RNF223",2.78
"C1orf159",4.66
"TTLL10",0.61
"TNFRSF18",7.02
"TNFRSF4",1.29
"SDF4",41.57
"B3GALT6",7.85
"C1QTNF12",0.88
"UBE2J2",25.9
"SCNN1D",0.83
"ACAP3",6
"PUSL1",10.47
"INTS11",16.78
"CPTP",11.8
"TAS1R3",0.28
"DVL1",10.21
"MXRA8",9.21
"AURKAIP1",66.6
"CCNL2",23.35
"MRPL20-AS1",4.03
"MRPL20",65.6
"ANKRD65",5.78
"VWA1",16.02
"ATAD3C",8.52
"ATAD3B",6.23
"ATAD3A",10.04
"TMEM240",0.82
"SSU72",56.8
"FNDC10",3.57
"MIB2",15.73
"MMP23B",1.03
"CDK11B",15.14
"SLC35E2B",8.79
"CDK11A",12.68
"SLC35E2A",3.95
"NADK",13.88
"GNB1",36.53
"CALML6",0.07
"CFAP74",0.38
"GABRD",0.65
"PRKCZ",11.39
"PRKCZ-AS1",0.13
"FAAP20",43.01
"SKI",9.92
"MORN1",4.87
"RER1",50.58
"PEX10",15.51
"PLCH2",2.32
"PANK4",3.58
"HES5",0.44
"TNFRSF14-AS1",3.23
"TNFRSF14",21.72
"PRXL2B",3.64
"MMEL1",5.78
"TTC34",0.4
"PRDM16-DT",1.34
"PRDM16",2.57
"ARHGEF16",7.94
"MEGF6",3.17
"TPRG1L",12.66
"WRAP73",10.25
"TP73",1.52
"SMIM1",24.98
"LRRC47",16.74
"CEP104",11.19
"DFFB",2.05
"C1orf174",15.28
"AJAP1",0.64
"NPHP4",2.59
"KCNAB2",1.96
"CHD5",0.22
"RNF207",4.93
"ICMT",13.1
"GPR153",1.45
"ACOT7",11.33
"HES2",3.53
"ESPN",10.51
"TNFRSF25",2.34
"PLEKHG5",2.04
"NOL9",8.2
"TAS1R1",0.14
"ZBTB48",8.26
"KLHL21",8.06
"PHF13",6.44
"THAP3",11.16
"DNAJC11",9.31
"CAMTA1-DT",0.29
"CAMTA1",55.27
"VAMP3",27.85
"PER3",9.05
"UTS2",0.67
"TNFRSF9",0.66
"PARK7",76.77
"ERRFI1",39.83
"SLC45A1",0.81
"RERE",30.24
"RERE-AS1",0.18
"ENO1",71.18
"ENO1-AS1",1.92
"CA6",0.24
"SLC2A7",0.01
"SLC2A5",2.22
"GPR157",5.33
"MIR34AHG",1.53
"LNCTAM34A",0.9
"H6PD",10.46
"SPSB1",10.62
"SLC25A33",25.71
"TMEM201",2.45
"PIK3CD",1.03
"PIK3CD-AS2",5.49
"CLSTN1",22.77
"CTNNBIP1",27.46
"LZIC",23.63
"NMNAT1",5.56
"RBP7",8.86
"UBE4B",11.83
"KIF1B",14.86
"PGD",27.05
"CENPS",7.93
"CORT",0.58
"DFFA",18.95
"PEX14",8.18
"CASZ1",10.22
"C1orf127",0.14
"TARDBP",25.2
"MASP2",5.9
"SRM",27.63
"EXOSC10",11.65
"EXOSC10-AS1",0.34
"MTOR",8.1
"MTOR-AS1",0.01
"ANGPTL7",0.08
"UBIAD1",9.53
"DISP3",0.19
"FBXO2",10.88
"FBXO44",10.5
"FBXO6",11.08
"MAD2L2",22.39
"DRAXIN",0.39
"AGTRAP",30.8
"C1orf167",1.9
"MTHFR",10.76
"CLCN6",4
"NPPA",0.05
"KIAA2013",17.52
"PLOD1",15.21
"MFN2",13.21
"MIIP",15.18
"TNFRSF8",0.1
"TNFRSF1B",2.79
"VPS13D",12.93
"DHRS3",31.36
"PDPN",1.89
"PRDM2",20.37
"KAZN",10.24
"KAZN-AS1",0.74
"TMEM51-AS1",0.51
"TMEM51",6.49
"C1orf195",0.04
"FHAD1",1.61
"EFHD2",27.91
"CELA2A",0.02
"CELA2B",0.03
"CASP9",5.39
"DNAJC16",8.46
"AGMAT",6.63
"DDI2",12.83
"PLEKHM2",9.32
"SLC25A34",0.53
"SLC25A34-AS1",0
"FBLIM1",11.21
"UQCRHL",7.62
"SPEN",19.76
"ZBTB17",7.11
