"gene","Mast"
"FAM87B",3e-04
"FAM41C",0.0139
"SAMD11",0.0013
"NOC2L",0.107
"KLHL17",0.0038
"PLEKHN1",0.0031
"HES4",0.4144
"ISG15",0.4317
"AGRN",0.0221
"RNF223",1e-04
"C1orf159",0.0203
"TTLL10",0.0076
"TNFRSF18",0.2295
"TNFRSF4",0.3514
"SDF4",0.309
"B3GALT6",0.0541
"C1QTNF12",0.0023
"UBE2J2",0.1401
"SCNN1D",0.0022
"ACAP3",0.0498
"PUSL1",0.0392
"INTS11",0.1069
"CPTP",0.0196
"TAS1R3",0.001
"DVL1",0.0242
"MXRA8",0.0034
"AURKAIP1",0.4422
"CCNL2",0.1897
"MRPL20-AS1",0.0077
"MRPL20",0.488
"ANKRD65",0.0025
"VWA1",0.0056
"ATAD3C",0.0129
"ATAD3B",0.0492
"ATAD3A",0.033
"TMEM240",0.001
"SSU72",0.411
"FNDC10",0.0127
"MIB2",0.1032
"MMP23B",0.0116
"CDK11B",0.2252
"SLC35E2B",0.0342
"CDK11A",0.1739
"SLC35E2A",0.0122
"NADK",0.0375
"GNB1",0.4985
"CALML6",4e-04
"CFAP74",5e-04
"GABRD",0.0013
"PRKCZ",0.0454
"PRKCZ-AS1",0.0018
"FAAP20",0.2104
"SKI",0.2859
"MORN1",0.0104
"RER1",0.3447
"PEX10",0.0344
"PLCH2",0.0019
"PANK4",0.014
"HES5",5e-04
"TNFRSF14-AS1",0.0366
"TNFRSF14",0.301
"PRXL2B",0.0073
"MMEL1",0.0116
"TTC34",0.0017
"PRDM16-DT",1e-04
"PRDM16",0.004
"ARHGEF16",6e-04
"MEGF6",0.0258
"TPRG1L",0.0558
"WRAP73",0.038
"TP73",2e-04
"SMIM1",0.2981
"LRRC47",0.0654
"CEP104",0.0487
"DFFB",0.0147
"C1orf174",0.0828
"AJAP1",2e-04
"NPHP4",0.0184
"KCNAB2",0.0878
"CHD5",3e-04
"RNF207",0.0037
"ICMT",0.029
"GPR153",0.039
"ACOT7",0.4756
"HES2",0.001
"ESPN",9e-04
"TNFRSF25",0.0124
"PLEKHG5",5e-04
"NOL9",0.0602
"TAS1R1",4e-04
"ZBTB48",0.1227
"KLHL21",0.0434
"PHF13",0.0278
"THAP3",0.0328
"DNAJC11",0.0364
"CAMTA1-DT",0.0028
"CAMTA1",0.3765
"VAMP3",0.2014
"PER3",0.0682
"UTS2",0.1022
"TNFRSF9",0.2807
"PARK7",0.7642
"ERRFI1",0.0551
"SLC45A1",7e-04
"RERE",0.4119
"RERE-AS1",0.0023
"ENO1",0.7084
"ENO1-AS1",0.0025
"CA6",1e-04
"SLC2A7",0
"SLC2A5",0.0011
"GPR157",0.0139
"MIR34AHG",0.0047
"LNCTAM34A",0.0017
"H6PD",0.052
"SPSB1",0.1359
"SLC25A33",0.2847
"TMEM201",0.0166
"PIK3CD",0.0669
"PIK3CD-AS2",0.038
"CLSTN1",0.0962
"CTNNBIP1",0.0673
"LZIC",0.1208
"NMNAT1",0.0155
"RBP7",0.0044
"UBE4B",0.0902
"KIF1B",0.0813
"PGD",0.1675
"CENPS",0.0146
"CORT",2e-04
"DFFA",0.0691
"PEX14",0.0525
"CASZ1",0.0328
"C1orf127",2e-04
"TARDBP",0.1476
"MASP2",6e-04
"SRM",0.1322
"EXOSC10",0.0854
"EXOSC10-AS1",4e-04
"MTOR",0.0505
"MTOR-AS1",2e-04
"ANGPTL7",2e-04
"UBIAD1",0.0356
"DISP3",1e-04
"FBXO2",0.0029
"FBXO44",0.0222
"FBXO6",0.0194
"MAD2L2",0.0502
"DRAXIN",0.0021
"AGTRAP",0.3484
"C1orf167",6e-04
"MTHFR",0.0394
"CLCN6",0.0179
"NPPA",5e-04
"KIAA2013",0.0651
"PLOD1",0.0186
"MFN2",0.0539
"MIIP",0.2818
"TNFRSF8",0.0103
"TNFRSF1B",0.0504
"VPS13D",0.1277
"DHRS3",0.0255
"PDPN",0.0017
"PRDM2",0.2619
"KAZN",0.043
"KAZN-AS1",1e-04
"TMEM51-AS1",1e-04
"TMEM51",0.0022
"C1orf195",1e-04
"FHAD1",0.0014
"EFHD2",0.6488
"CELA2A",0.0023
"CELA2B",6e-04
"CASP9",0.0454
"DNAJC16",0.0276
"AGMAT",0.0023
"DDI2",0.0293
"PLEKHM2",0.098
"SLC25A34",0.0039
"SLC25A34-AS1",2e-04
"FBLIM1",0.0066
"UQCRHL",0.0224
"SPEN",0.2462
"ZBTB17",0.0875
"SRARP",1e-04
"HSPB7",2e-04
"CLCNKA",0
"EPHA2",0.0048
"ARHGEF19",0.012
"CPLANE2",0.0043
"FBXO42",0.0875
"SZRD1",0.1929
"SPATA21",0.0075
"NECAP2",0.1396
"NBPF1",0.0519
"CROCC",0.0601
"MFAP2",0.0083
"ATP13A2",0.0288
"SDHB",0.189
"PADI2",0.0879
"PADI4",0.037
"RCC2",0.1791
"ARHGEF10L",0.002
"IGSF21",8e-04
"PAX7",1e-04
"ALDH4A1",0.0226
"IFFO2",0.1451
"UBR4",0.3055
"EMC1-AS1",0.025
"EMC1",0.0436
"MRTO4",0.0589
"AKR7A3",0.0014
"AKR7A2",0.0935
"SLC66A1",0.0022
"CAPZB",0.6402
"MICOS10",0.1954
"NBL1",0.0558
"TMCO4",0.035
"OTUD3",0.0281
"PLA2G5",2e-04
"PLA2G2D",3e-04
"PLA2G2C",0.0045
"UBXN10-AS1",0.129
"UBXN10",0.0432
"CAMK2N1",0.0301
"MUL1",0.0451
"CDA",0.0033
"PINK1",0.0636
"PINK1-AS",0.0059
"DDOST",0.3423
"KIF17",0.0017
"HP1BP3",0.4786
"EIF4G3",0.2255
"ECE1",0.0895
"NBPF3",0.0068
"ALPL",0.0018
"RAP1GAP",0.0016
"USP48",0.3294
"LDLRAD2",0.0088
"HSPG2",0.1046
"CELA3B",0
"CDC42",1.3002
"CDC42-AS1",0.0031
"CDC42-IT1",0.0031
"WNT4",4e-04
"ZBTB40",0.0552
"C1QA",0.0801
"C1QC",0.0361
"C1QB",0.0762
"EPHB2",7e-04
"TEX46",2e-04
"KDM1A",0.1238
"LUZP1",0.1832
"HNRNPR",0.4253
"ZNF436",0.0081
"ZNF436-AS1",0.0038
"TCEA3",0.0076
"ASAP3",6e-04
"E2F2",0.0017
"ID3",0.0498
"MDS2",6e-04
"ELOA-AS1",0.0177
"ELOA",0.0791
"PITHD1",0.3155
"LYPLA2",0.0845
"GALE",0.0307
"HMGCL",0.0549
"FUCA1",0.0371
"CNR2",0.0051
"PNRC2",0.3164
"SRSF10",0.5168
"MYOM3",2e-04
"IFNLR1",0.0028
"STPG1",0.0123
"NIPAL3",0.0499
"RCAN3AS",0.0051
"RCAN3",0.0858
"NCMAP-DT",9e-04
"NCMAP",5e-04
"SRRM1",0.9344
"CLIC4",0.1811
"RUNX3",0.2847
"SYF2",0.5758
"RSRP1",0.7455
"RHD",0.015
"TMEM50A",0.6533
"RHCE",0.0085
"MACO1",0.2244
"LDLRAP1",0.0167
"MAN1C1",0.0303
"SELENON",0.0535
"MTFR1L",0.1476
"AUNIP",0.0017
"PAQR7",0.0448
"STMN1",0.9761
"PAFAH2",0.0511
"EXTL1",0.0025
"PDIK1L",0.0335
"FAM110D",0.0012
"ZNF593",0.2045
"CNKSR1",0.0025
"CEP85",0.0334
"SH3BGRL3",2.5006
"UBXN11",0.088
"CD52",1.129
"CRYBG2",9e-04
"ZNF683",0.0024
"LIN28A",4e-04
"DHDDS",0.0634
"HMGN2",0.9014
"ARID1A",0.2666
"PIGV",0.0153
"ZDHHC18",0.0269
"SFN",0.0136
"GPN2",0.0559
"GPATCH3",0.0367
"NUDC",0.5171
"KDF1",3e-04
"TRNP1",0.0016
