"gene","Mast"
"FAM87B",0.03
"FAM41C",1.11
"SAMD11",0.1
"NOC2L",8.91
"KLHL17",0.36
"PLEKHN1",0.23
"HES4",24.63
"ISG15",27.45
"AGRN",1.72
"RNF223",0.01
"C1orf159",1.91
"TTLL10",0.71
"TNFRSF18",16.18
"TNFRSF4",24.39
"SDF4",23.71
"B3GALT6",4.62
"C1QTNF12",0.17
"UBE2J2",11.78
"SCNN1D",0.23
"ACAP3",4.03
"PUSL1",3.35
"INTS11",9.31
"CPTP",1.72
"TAS1R3",0.09
"DVL1",2.18
"MXRA8",0.29
"AURKAIP1",32.92
"CCNL2",14.77
"MRPL20-AS1",0.82
"MRPL20",35.24
"ANKRD65",0.2
"VWA1",0.49
"ATAD3C",1.09
"ATAD3B",4.3
"ATAD3A",3.09
"TMEM240",0.09
"SSU72",30.61
"FNDC10",1.21
"MIB2",8.23
"MMP23B",0.93
"CDK11B",17.2
"SLC35E2B",3.04
"CDK11A",13.41
"SLC35E2A",1.15
"NADK",3.46
"GNB1",33.91
"CALML6",0.02
"CFAP74",0.05
"GABRD",0.11
"PRKCZ",3.89
"PRKCZ-AS1",0.16
"FAAP20",17.15
"SKI",20.94
"MORN1",1.01
"RER1",26.29
"PEX10",3.09
"PLCH2",0.17
"PANK4",1.28
"HES5",0.04
"TNFRSF14-AS1",3.11
"TNFRSF14",22.66
"PRXL2B",0.78
"MMEL1",1
"TTC34",0.16
"PRDM16-DT",0.01
"PRDM16",0.54
"ARHGEF16",0.05
"MEGF6",2.23
"TPRG1L",4.85
"WRAP73",3.28
"TP73",0.02
"SMIM1",19.94
"LRRC47",5.62
"CEP104",4.29
"DFFB",1.43
"C1orf174",7.07
"AJAP1",0.03
"NPHP4",1.66
"KCNAB2",7.33
"CHD5",0.04
"RNF207",0.31
"ICMT",2.68
"GPR153",3.39
"ACOT7",31.87
"HES2",0.08
"ESPN",0.09
"TNFRSF25",0.92
"PLEKHG5",0.05
"NOL9",5.25
"TAS1R1",0.08
"ZBTB48",10.1
"KLHL21",3.52
"PHF13",2.43
"THAP3",2.78
"DNAJC11",3.35
"CAMTA1-DT",0.35
"CAMTA1",27.99
"VAMP3",16.05
