"gene","F_C1_MMP11","F_C2_MIF","F_C3_CXCL12","F_C4_IGF1","F_C5_SPP1","F_C6_COL2A1","F_C7_MKI67","F_C8_PLA2G2A","Per_C1_RGS5","Per_C2_MYH11"
"FAM87B",0.0063,0.0036,0.0118,0.0066,0.0087,0.0087,0.0018,0,0.0031,0.0054
"FAM41C",0.0054,0.0042,0.0062,0.0044,0.0037,0.0026,0.0018,0,0.0082,0.0127
"SAMD11",0.0758,0.0536,0.0419,0.1385,0.0386,0.0579,0.0307,0.0625,0.0279,0.0397
"NOC2L",0.1696,0.1422,0.153,0.1475,0.1565,0.1774,0.186,0.0489,0.1657,0.1493
"KLHL17",0.0151,0.0095,0.0099,0.0109,0.0123,0.0178,0.0167,0.0049,0.0112,0.0097
"PLEKHN1",0.013,0.0096,0.0034,0.0066,0.0055,0.0131,0.005,0,0.003,0.0054
"HES4",0.656,0.5049,0.404,0.2838,0.1798,0.1973,0.7823,0.0654,1.0584,1.2304
"ISG15",1.1599,0.8036,0.2399,0.572,0.1307,0.5579,1.0289,0.9856,1.0219,0.6845
"AGRN",0.0872,0.0639,0.0605,0.0564,0.0392,0.0453,0.1424,0.0195,0.2563,0.1066
"RNF223",6e-04,0.0014,2e-04,6e-04,1e-04,0.0012,0.0024,0,4e-04,8e-04
"C1orf159",0.0274,0.0186,0.1099,0.0287,0.0701,0.0189,0.0442,0.0077,0.0384,0.0391
"TTLL10",1e-04,9e-04,7e-04,2e-04,5e-04,0,0,0,2e-04,4e-04
"TNFRSF18",0.0231,0.0157,0.0155,0.0157,0.0163,0.0357,0.0136,0.0621,0.0052,0.0048
"TNFRSF4",0.0217,0.0205,0.0168,0.0183,0.0155,0.0219,0.0116,0.1031,0.0089,0.0073
"SDF4",0.7074,0.436,0.3879,0.7268,0.371,0.6325,0.6996,0.2205,0.453,0.3872
"B3GALT6",0.1124,0.0655,0.0467,0.0789,0.0535,0.1001,0.1191,0.016,0.0853,0.0588
"C1QTNF12",0.0045,0.0022,0.0017,0.0048,0.0067,0.0047,0.0025,0,0.0024,0.0012
"UBE2J2",0.2041,0.1566,0.1621,0.1991,0.1471,0.1996,0.2271,0.0761,0.1931,0.1795
"SCNN1D",0.0056,0.0055,0.0088,0.009,0.006,0.0033,0.0059,0,0.0053,0.0036
"ACAP3",0.0784,0.0615,0.1073,0.0967,0.0798,0.0593,0.1026,0.0402,0.0825,0.0738
"PUSL1",0.0779,0.0507,0.0282,0.0596,0.0316,0.0666,0.0959,0.0136,0.0483,0.0397
"INTS11",0.1698,0.1297,0.1523,0.1558,0.1932,0.2037,0.1945,0.0035,0.1443,0.1164
"CPTP",0.0578,0.038,0.0262,0.046,0.0383,0.0589,0.0678,0,0.0473,0.0476
"TAS1R3",1e-04,4e-04,3e-04,5e-04,0.0015,0.0013,0,0,0,3e-04
"DVL1",0.1118,0.073,0.0699,0.0866,0.1138,0.106,0.0794,0.0044,0.0697,0.0704
"MXRA8",1.5107,1.0596,0.9487,1.3239,1.3375,1.3559,0.737,0.1963,0.6768,0.5168
"AURKAIP1",0.712,0.5724,0.2703,0.5769,0.363,0.7622,1.0801,0.2509,0.6255,0.6297
"CCNL2",0.3081,0.2375,0.4487,0.2959,0.3942,0.247,0.2341,0.0428,0.3116,0.2554
"MRPL20-AS1",0.0328,0.0266,0.0043,0.0198,0.0039,0.021,0.0267,0,0.023,0.0165
"MRPL20",0.7105,0.5785,0.392,0.6527,0.469,0.7776,0.7485,0.3716,0.5839,0.6613
"ANKRD65",0.1203,0.0706,0.0898,0.1342,0.1253,0.1191,0.0615,0.0237,0.0194,0.0204
"VWA1",0.2338,0.1716,0.2646,0.2097,0.5184,0.4092,0.133,0.0179,0.0999,0.1205
"ATAD3C",0.0083,0.0081,0.017,0.011,0.0376,0.0238,0.0071,0.0029,0.0046,0.0046
"ATAD3B",0.042,0.0275,0.0553,0.0335,0.0399,0.028,0.0732,0.0147,0.036,0.0336
"ATAD3A",0.0712,0.0441,0.0352,0.0498,0.0346,0.0536,0.1544,0.0081,0.0574,0.0468
"TMEM240",0.0335,0.0285,0.0104,0.0263,0.0115,0.025,0.0392,0,0.0319,0.0165
"SSU72",0.5016,0.382,0.2364,0.455,0.2498,0.4331,0.4986,0.3601,0.4115,0.399
"FNDC10",0.0336,0.0157,0.0013,0.0349,0.0011,0.0059,0.0776,0,0.0111,0.0039
"MIB2",0.1057,0.0755,0.0876,0.1008,0.0786,0.1001,0.1079,0.038,0.0946,0.0909
"MMP23B",0.1398,0.0523,0.0087,0.3521,0.0054,0.0563,0.0513,0.3881,0.0131,0.022
"CDK11B",0.1339,0.1124,0.1731,0.1161,0.1707,0.1242,0.1905,0.0445,0.1521,0.1743
"SLC35E2B",0.084,0.0657,0.1248,0.1022,0.0976,0.0581,0.0514,0.0331,0.0896,0.0713
"CDK11A",0.1282,0.1091,0.1783,0.1115,0.1747,0.1237,0.1456,0.0709,0.1509,0.1472
"SLC35E2A",0.0308,0.0255,0.0762,0.0403,0.0526,0.0347,0.0191,0,0.0371,0.0238
"NADK",0.1062,0.0694,0.096,0.1284,0.0884,0.0676,0.135,0.0525,0.1071,0.1086
"GNB1",0.623,0.3949,0.7848,0.5152,0.5768,0.5257,0.7919,0.1831,0.6063,0.5817
"CALML6",4e-04,3e-04,3e-04,2e-04,6e-04,0,5e-04,0,0.0015,0.0144
"CFAP74",6e-04,0.0021,0.0032,0.0012,0.0025,0,7e-04,0,0.0129,0.0116
"GABRD",0.0027,0.0088,0.0028,0.002,0.0013,0.0042,0.0142,0,0.0669,0.0349
"PRKCZ",0.0092,0.0079,0.0065,0.0146,0.0083,0.03,0.0063,0.0032,0.0063,0.0101
"PRKCZ-AS1",0.0025,0.0023,0.002,0.0024,0.0024,0.0021,4e-04,0.0033,0.0026,0.0028
"FAAP20",0.4468,0.3354,0.2818,0.3211,0.3136,0.3877,0.5454,0.0246,0.4382,0.3678
"SKI",0.3508,0.2074,0.5444,0.3633,0.4622,0.2974,0.2943,0.0279,0.2883,0.3233
"MORN1",0.0154,0.0149,0.0932,0.0184,0.074,0.0262,0.0196,0.0061,0.0246,0.0315
"RER1",0.6475,0.4458,0.3603,0.5798,0.3421,0.6223,0.832,0.2241,0.4918,0.423
"PEX10",0.0733,0.0461,0.0641,0.0654,0.0698,0.0815,0.1017,0.0142,0.07,0.0705
"PLCH2",3e-04,9e-04,7e-04,4e-04,5e-04,0.001,0,0,4e-04,8e-04
"PANK4",0.0356,0.0272,0.0346,0.0292,0.0284,0.0303,0.0336,0.0157,0.0478,0.0395
"HES5",0.0028,0.0058,0.0052,0.0021,0.0062,0.0033,0.0185,0,0.0438,0.0552
"TNFRSF14-AS1",0.004,0.0039,0.0283,0.0047,0.0091,0.0087,9e-04,0.0043,0.0056,0.0038
"TNFRSF14",0.1635,0.13,0.148,0.1773,0.0996,0.1145,0.0953,0.0951,0.1846,0.1366
"PRXL2B",0.0265,0.0206,0.0031,0.0162,0.0032,0.0191,0.0459,0,0.0273,0.0189
"MMEL1",0.0013,0.0016,9e-04,9e-04,0.0011,0.0022,0,0.0035,0.0027,0.0037
"TTC34",0.0013,0.001,0.0079,0.0028,0.0042,0.0033,5e-04,0,0.0019,0.0022
"PRDM16-DT",0.0032,0.0015,9e-04,0.0074,4e-04,3e-04,0.0023,0,0.0014,0.0106
"PRDM16",0.0063,0.0054,0.0955,0.0202,0.0173,0.0043,0.0119,0.0045,0.0136,0.1452
"ARHGEF16",0.0016,0.0039,7e-04,0.001,0,6e-04,0.0035,0.0047,0.0052,0.0049
"MEGF6",0.0415,0.0117,0.0242,0.084,0.005,0.0151,0.0308,0.0193,0.0037,0.0097
"TPRG1L",0.0934,0.0712,0.0635,0.1112,0.0855,0.0969,0.0732,0.0541,0.0751,0.0933
"WRAP73",0.0688,0.0614,0.0426,0.0714,0.042,0.0502,0.0631,0.0333,0.0744,0.0624
"TP73",6e-04,6e-04,0.0033,5e-04,0.0018,0,0.0073,0,7e-04,0.0011
"SMIM1",0.0323,0.0329,0.0315,0.0319,0.0344,0.0695,0.0223,0.017,0.0143,0.0247
"LRRC47",0.1098,0.0844,0.083,0.117,0.0873,0.105,0.1099,0.0418,0.1002,0.1271
"CEP104",0.0819,0.0563,0.127,0.0792,0.1127,0.0665,0.0686,0.0192,0.0957,0.1009
"DFFB",0.0185,0.0141,0.0416,0.0199,0.0382,0.0225,0.0151,0,0.0199,0.0185
"C1orf174",0.1111,0.0786,0.0599,0.1085,0.0667,0.0741,0.1644,0.0453,0.0992,0.0895
"AJAP1",0.0023,0.0025,0.0024,0.008,0.0058,0.0079,0.0128,0,0.018,0.075
"NPHP4",0.0262,0.017,0.0812,0.0261,0.0612,0.0233,0.0461,0.0045,0.0317,0.03
"KCNAB2",0.0178,0.0151,0.0355,0.0201,0.0256,0.0138,0.0459,0.028,0.0178,0.0185
"CHD5",6e-04,7e-04,0.0022,5e-04,0.0012,2e-04,0,0,5e-04,0.0036
"RNF207",0.0347,0.017,0.0321,0.0347,0.0055,0.0135,0.0144,0,0.0163,0.0163
"ICMT",0.1952,0.1037,0.0861,0.1764,0.0518,0.0953,0.3923,0.0412,0.1806,0.1562
"GPR153",0.0918,0.0518,0.1497,0.0958,0.0986,0.1062,0.0518,0.0214,0.0502,0.0198
"ACOT7",0.0912,0.0579,0.057,0.0643,0.0835,0.0824,0.2973,0.0396,0.0451,0.0617
"HES2",0.0018,0.0015,0.002,0.0014,0.0022,0.0031,0.0037,0,0.0011,0.0016
"ESPN",0.0022,0.0023,0.001,0.0014,0.0025,0.0024,0.0011,0,0.0017,9e-04
"TNFRSF25",0.0161,0.0114,0.0244,0.0174,0.0237,0.0185,0.0125,0.0218,0.006,0.0037
"PLEKHG5",0.0221,0.0119,0.0405,0.0226,0.0365,0.0375,0.0111,0,0.0036,0.004
"NOL9",0.0841,0.0554,0.1387,0.0956,0.1182,0.075,0.1066,0.0144,0.0818,0.0844
"TAS1R1",0.001,7e-04,0.0208,0.0059,0.0148,0.0051,7e-04,0,0.0024,0.0109
"ZBTB48",0.0467,0.038,0.0691,0.0462,0.0671,0.0465,0.043,0.01,0.0537,0.048
"KLHL21",0.0959,0.052,0.1561,0.1074,0.1119,0.1095,0.0587,0.0073,0.0702,0.1148
"PHF13",0.0819,0.0465,0.1558,0.0823,0.1116,0.0735,0.0887,0.019,0.0657,0.0847
"THAP3",0.1205,0.1028,0.0782,0.1039,0.1071,0.1413,0.0878,0.0355,0.1106,0.0979
"DNAJC11",0.0634,0.0424,0.1409,0.0602,0.1227,0.0692,0.0687,0.0289,0.0775,0.0685
"CAMTA1-DT",0.0015,0.0015,0.0387,0.0032,0.0535,0.0148,0.0044,0,0.0077,0.0147
"CAMTA1",0.6206,0.5079,0.6034,0.4535,0.7552,0.7994,0.7232,0.2479,0.6157,0.8844
"VAMP3",0.2738,0.2123,0.2051,0.282,0.2412,0.2961,0.2957,0.0979,0.2715,0.3138
"PER3",0.1275,0.0916,0.7885,0.1791,0.5941,0.1832,0.1216,0.0086,0.1352,0.2464
