"gene","F_C1_MMP11","F_C2_MIF","F_C3_CXCL12","F_C4_IGF1","F_C5_SPP1","F_C6_COL2A1","F_C7_MKI67","F_C8_PLA2G2A","Per_C1_RGS5","Per_C2_MYH11"
"FAM87B",0.89,0.34,1.75,0.95,1.13,1.22,0.34,0,0.38,0.7
"FAM41C",0.73,0.33,0.89,0.65,0.46,0.37,0.45,0,0.85,1.61
"SAMD11",8.95,4.11,5.03,15.76,4,7.94,5.29,2.73,2.8,4.12
"NOC2L",21.45,11.74,18.87,18.62,16.94,22.19,28.6,2.05,16.84,16.88
"KLHL17",2.19,0.85,1.31,1.46,1.41,2.33,2.93,0.17,1.25,1.14
"PLEKHN1",1.89,0.83,0.47,0.96,0.65,1.96,1.01,0,0.31,0.71
"HES4",52.81,31.6,38.39,26.65,16.94,19.28,58.78,3.07,67.7,74.19
"ISG15",64.22,38.91,24.07,42.78,10.67,36.55,66.78,37.2,56.04,46.15
"AGRN",11.05,4.77,8.12,7.21,4.69,5.99,19.14,0.85,22.98,11.53
"RNF223",0.07,0.1,0.02,0.04,0.01,0.11,0.45,0,0.04,0.07
"C1orf159",3.65,1.58,12.92,3.66,7.16,2.6,7.32,0.34,3.85,4.44
"TTLL10",0.02,0.06,0.09,0.02,0.07,0,0,0,0.02,0.05
"TNFRSF18",3.1,1.19,2.25,2.13,1.65,4.4,1.58,2.56,0.52,0.53
"TNFRSF4",2.15,1.29,2.19,1.78,1.68,2.86,1.24,4.27,0.87,0.75
"SDF4",63.74,31.06,42.7,64.28,37.27,59.9,68.13,9.56,40.64,38.06
"B3GALT6",15.74,6.09,6.88,11.05,6.4,14.04,19.93,0.85,9.52,7.2
"C1QTNF12",0.68,0.17,0.23,0.77,0.65,0.37,0.34,0,0.27,0.16
"UBE2J2",26.02,13.05,20.67,25.24,16.61,24.74,34.12,3.58,20,20.45
"SCNN1D",0.7,0.37,1.1,1.09,0.63,0.42,1.24,0,0.56,0.48
"ACAP3",10.36,4.8,13.44,12.39,8.77,7.68,16.78,1.71,8.48,8.82
"PUSL1",11.14,4.79,4.06,8.46,3.9,10.12,15.65,0.68,5.51,4.93
"INTS11",22.05,11.29,19.48,19.99,20.92,25.95,29.17,0.17,15.16,13.92
"CPTP",8.23,3.45,3.72,6.28,4.53,8.53,11.94,0,5.21,5.66
"TAS1R3",0.01,0.05,0.04,0.07,0.17,0.16,0,0,0,0.03
"DVL1",14.55,6.22,9.25,11.73,12.83,13.93,13.18,0.17,7.52,8.49
