"gene","M_C1_IL1B_Mono","M_C10_MKI67_Macro","M_C11_MT1G_Macro","M_C12_HSPA1A_Macro","M_C13_MMP9_Macro","M_C14_CD1C_cDC","M_C15_LAMP3_cDC","M_C16_LILRA4_pDC","M_C17_S100A8_Neutro","M_C18_ISG15_Neutro","M_C19_AZU1_Neutro","M_C2_S100A8_Mono","M_C20_CXCL8_Neutro","M_C3_FCGR3A_Mono","M_C4_VCAN_Mono","M_C5_CCL3_C1QA_Macro","M_C6_SPP1_Macro","M_C7_TREM2_Macro","M_C8_BMP2K_Macro","M_C9_ISG15_Macro"
"FAM87B",0.0019,0.003,0.001,0.0023,0,0.0034,0.0017,0.0016,3e-04,2e-04,0.0021,5e-04,0,0.0018,3e-04,0.0036,0.0013,9e-04,0.0042,0.0032
"FAM41C",0.0119,0.0116,0.0202,0.0075,0.01,0.0133,0.0072,0.0125,0.0094,0.0095,0.0097,0.0029,0,0.0091,0.0085,0.0118,0.0161,0.0101,0.0068,0.0086
"SAMD11",0.0011,0.0033,5e-04,5e-04,0.0037,0.002,0.0011,0.0022,0.0016,0.0041,0.0015,0.0015,0.005,0.0024,0.0014,0.0017,0.0014,0.0018,8e-04,5e-04
"NOC2L",0.0868,0.141,0.0846,0.0899,0.1151,0.1225,0.1216,0.1479,0.0215,0.0316,0.1161,0.0254,0.0128,0.1241,0.077,0.1035,0.118,0.0816,0.0915,0.1078
"KLHL17",0.0106,0.011,0.0078,0.0058,0.0127,0.0093,0.0149,0.0086,0.0034,0.0051,0.0122,0.0029,0,0.012,0.008,0.0104,0.0103,0.0068,0.0083,0.0073
"PLEKHN1",0.0089,0.0021,0.0052,0.0044,0.0176,0.0032,0.0053,0.0029,0.0023,0.0046,0.0036,4e-04,0,0.0051,0.0101,0.0027,0.0062,0.0037,0.0041,0.0108
"HES4",0.1607,0.1479,0.2393,0.231,0.0875,0.2535,0.15,0.2159,0.1543,1.2859,0.1513,0.0151,0.1832,0.7692,0.0372,0.2149,0.156,0.078,0.0745,0.2739
"ISG15",0.5352,1.1368,1.2473,0.7351,0.504,0.6639,0.6582,0.7724,0.6424,4.052,0.4845,0.0627,0.1169,0.9664,0.2724,0.7632,1.0018,0.8291,0.3396,2.3267
"AGRN",0.0145,0.0333,0.0406,0.0157,0.0516,0.0329,0.0477,0.0155,0.0072,0.0482,0.0225,0.0027,0,0.0094,0.0068,0.0394,0.0562,0.0206,0.0184,0.0514
"RNF223",1e-04,2e-04,3e-04,0,0,3e-04,9e-04,0,4e-04,5e-04,5e-04,0,0,0,0,5e-04,3e-04,6e-04,4e-04,0
"C1orf159",0.0395,0.0345,0.0108,0.0206,0.0279,0.0297,0.0225,0.0433,0.0041,0.0111,0.0557,0.0061,0,0.057,0.0339,0.0285,0.0246,0.0181,0.063,0.0327
"TTLL10",0.001,0,0,0.0025,0.0023,9e-04,5e-04,6e-04,2e-04,0,0.002,3e-04,0,0.0013,3e-04,7e-04,8e-04,6e-04,0.001,3e-04
"TNFRSF18",0.0162,0.0306,0.0369,0.0197,0.0129,0.0399,0.1079,0.0296,0.0105,0.0121,0.0099,0.0047,0,0.0072,0.0089,0.0214,0.022,0.0119,0.0087,0.0355
"TNFRSF4",0.0193,0.038,0.0371,0.0256,0.0302,0.0464,0.1741,0.0599,0.013,0.0135,0.0155,0.0065,0.0128,0.0085,0.0119,0.0474,0.0347,0.0249,0.0164,0.1182
"SDF4",0.2336,0.41,0.3128,0.2564,0.4084,0.2821,0.3016,0.287,0.0758,0.1084,0.2852,0.0516,0.0253,0.1874,0.1894,0.3675,0.4425,0.2561,0.1807,0.4356
"B3GALT6",0.0404,0.0696,0.0521,0.0422,0.0692,0.066,0.052,0.0822,0.0088,0.013,0.0509,0.0046,0.0068,0.0346,0.0375,0.0696,0.0765,0.0446,0.0413,0.0699
"C1QTNF12",0.0025,0.002,7e-04,4e-04,0.0014,0.0033,0.0028,0.0037,0.003,0.0035,0.0023,0.0023,0.0043,0.0031,0.0026,0.0016,0.0013,0.0011,0.0033,0.0016
"UBE2J2",0.1603,0.2002,0.1316,0.1168,0.1614,0.1764,0.1578,0.1805,0.0657,0.0688,0.1705,0.0684,0.0445,0.1538,0.1481,0.149,0.1686,0.1186,0.1107,0.1714
"SCNN1D",0.0036,0.0033,0.002,0.0051,0.001,0.0028,9e-04,0.0017,8e-04,0.0027,0.0062,0.0013,0,0.0034,0.0055,0.0061,0.0038,0.0022,0.006,0.0025
"ACAP3",0.0714,0.0696,0.0405,0.0454,0.0341,0.0427,0.0283,0.0466,0.0198,0.0167,0.1054,0.0302,0.0276,0.0547,0.0735,0.0434,0.0443,0.0262,0.0382,0.0286
"PUSL1",0.0352,0.0654,0.0447,0.0301,0.0566,0.0575,0.0416,0.0373,0.0104,0.014,0.0438,0.0066,0.0046,0.0398,0.0365,0.0403,0.0492,0.0354,0.0201,0.0418
"INTS11",0.0928,0.1354,0.0695,0.0816,0.112,0.1088,0.09,0.1005,0.0271,0.0226,0.1233,0.0498,0.0143,0.1003,0.097,0.0894,0.098,0.0805,0.0776,0.0761
"CPTP",0.015,0.04,0.0253,0.0314,0.0564,0.0272,0.027,0.0284,0.0085,0.0105,0.0213,0.0066,0,0.0171,0.0189,0.034,0.0426,0.0286,0.0171,0.0385
"TAS1R3",6e-04,8e-04,0.001,0,0,7e-04,9e-04,0.0019,8e-04,5e-04,0.0012,4e-04,0,0.0013,0,5e-04,6e-04,8e-04,7e-04,0.001
"DVL1",0.0296,0.0268,0.0295,0.0263,0.1254,0.0295,0.018,0.0264,0.0099,0.0181,0.035,0.0079,0.007,0.0253,0.0277,0.0362,0.0411,0.0209,0.027,0.0216
"MXRA8",0.0078,0.0073,0.0094,0.0043,0.0287,0.0059,0.0059,0.0102,0.0148,0.0307,0.0072,0.0204,0.0047,0.0086,0.0079,0.0099,0.0093,0.0153,0.0118,0.0088
"AURKAIP1",0.481,0.7806,0.5936,0.4441,0.7673,0.5935,0.5421,0.5417,0.2702,0.3335,0.5631,0.122,0.1332,0.4527,0.418,0.53,0.6731,0.4974,0.267,0.6701
"CCNL2",0.1476,0.1376,0.1,0.1269,0.1807,0.1446,0.157,0.2031,0.0696,0.0708,0.179,0.1132,0.0233,0.1604,0.146,0.1511,0.1416,0.0959,0.178,0.1327
"MRPL20-AS1",0.0104,0.0147,0.0022,0.0068,0.0132,0.0116,0.0126,0.0315,0.003,0.0055,0.0059,0.0018,0,0.0185,0.0186,0.0117,0.0116,0.013,0.0158,0.0148
"MRPL20",0.4706,0.661,0.5448,0.3923,0.5719,0.5712,0.5261,0.6422,0.1508,0.1706,0.5397,0.1779,0.0634,0.4346,0.4617,0.5011,0.6265,0.494,0.3687,0.6445
"ANKRD65",0.0015,0.0081,0.0031,0.0057,0.0081,0.017,0.0278,0.0244,0.0021,0.001,0.0014,0,0,6e-04,0.0021,0.0057,0.0037,0.0068,0.0014,0.0061
"VWA1",0.0042,0.0146,0.0088,0.0125,0.1178,0.0262,0.0136,0.0055,0.0075,0.0058,0.0039,0.0074,0,0.0044,0.0082,0.0144,0.0092,0.011,0.0054,0.0064
"ATAD3C",0.0039,0.0078,0.0044,0.0052,0.0064,0.0069,0.0077,0.0038,0.0037,0.0019,0.0131,0.0032,0,0.0045,0.0024,0.0081,0.0077,0.0068,0.0046,0.0036
"ATAD3B",0.0374,0.0647,0.0287,0.0366,0.0378,0.0336,0.0271,0.0445,0.012,0.0115,0.0614,0.0138,0.0096,0.034,0.0293,0.0377,0.0407,0.0228,0.0337,0.0385
"ATAD3A",0.0337,0.1041,0.0387,0.0398,0.0485,0.0495,0.0342,0.0404,0.0078,0.0105,0.0661,0.0079,0.0051,0.0363,0.0267,0.0396,0.0516,0.0317,0.0292,0.043
