"gene","M_C1_IL1B_Mono","M_C10_MKI67_Macro","M_C11_MT1G_Macro","M_C12_HSPA1A_Macro","M_C13_MMP9_Macro","M_C14_CD1C_cDC","M_C15_LAMP3_cDC","M_C16_LILRA4_pDC","M_C17_S100A8_Neutro","M_C18_ISG15_Neutro","M_C19_AZU1_Neutro","M_C2_S100A8_Mono","M_C20_CXCL8_Neutro","M_C3_FCGR3A_Mono","M_C4_VCAN_Mono","M_C5_CCL3_C1QA_Macro","M_C6_SPP1_Macro","M_C7_TREM2_Macro","M_C8_BMP2K_Macro","M_C9_ISG15_Macro"
"FAM87B",0.23,0.41,0.16,0.16,0,0.45,0.13,0.17,0.02,0.03,0.25,0.04,0,0.24,0.04,0.47,0.24,0.07,0.5,0.47
"FAM41C",1.32,1.88,2.6,0.77,1.79,1.68,1.05,1.72,0.52,0.56,1.41,0.21,0,1.02,0.81,1.51,2.72,0.95,0.85,1.3
"SAMD11",0.13,0.29,0.05,0.05,0.32,0.23,0.18,0.28,0.08,0.26,0.25,0.08,0.17,0.31,0.14,0.21,0.21,0.1,0.12,0.09
"NOC2L",10.18,19.88,11.82,8.92,16.07,15.06,15.55,17.52,1.27,2.91,14.95,1.68,0.7,14.14,7.24,13.03,18.31,7.66,10.77,15.76
"KLHL17",1.25,1.5,1.03,0.66,1.62,1.21,1.8,1.16,0.2,0.33,1.74,0.23,0,1.47,0.77,1.37,1.68,0.64,1.02,1.02
"PLEKHN1",1.04,0.29,0.54,0.49,3.41,0.46,0.62,0.25,0.14,0.43,0.42,0.04,0,0.55,0.84,0.37,0.9,0.28,0.52,1.49
"HES4",11.92,14.94,19.63,16.86,8.77,19.67,13.05,17.61,6.21,46.2,12.96,0.83,6.99,46.28,2.78,19.08,16.63,5.59,6.73,25.22
"ISG15",36.83,61.71,59.27,41.05,34.42,46.21,42.79,38.21,23.81,93.95,36.88,3.63,5.42,57.8,20.6,50.24,64.16,40.13,28.67,86.97
"AGRN",1.62,5.07,4.93,1.7,8.44,4.19,5.67,1.95,0.36,3.24,3.16,0.21,0,1.02,0.7,5.1,8.83,1.88,2.13,7.85
"RNF223",0.01,0.03,0.05,0,0,0.05,0.09,0,0.02,0.03,0.08,0,0,0,0,0.04,0.03,0.04,0.05,0
"C1orf159",4.69,5.38,1.79,2.08,4.22,3.87,3.16,5.46,0.26,0.99,7.56,0.45,0,6.6,2.99,3.67,3.91,1.66,7.28,4.9
