"gene","PC_C1_TXNDC5","PC_C2_GMDS","PC_C3_IGHGP","PC_C4_CD79A","PC_C5_HSPA1A","PC_C6_SELK","PC_C7_HLA-DRA","PC_C8_IGHG","PC_C9_IGHA"
"FAM87B",0,3e-04,2e-04,0,3e-04,0,0,0,0.001
"FAM41C",0.0025,0.0042,0.0037,5e-04,0.0015,0.0013,0.0011,0.0032,0.004
"SAMD11",0.0084,0.0103,0.0085,0.0028,0.0076,0.0039,0.0029,0.0044,0.0366
"NOC2L",0.0761,0.0603,0.0782,0.0701,0.0883,0.0696,0.217,0.062,0.0956
"KLHL17",0.0062,0.0043,0.0037,0.0014,0.0106,0.0016,0.006,0.0038,0.0105
"PLEKHN1",0.022,0.0222,0.0185,0.0148,0.0293,0.0175,0.0213,0.0103,0.0442
"HES4",0.0089,0.0064,0.0197,0.0038,0.0158,0.0049,0.0578,0.0206,0.0097
"ISG15",0.2957,0.0806,0.1167,0.412,0.5737,0.4052,0.1605,0.2307,0.21
"AGRN",0.0021,0.0018,0.0044,0.002,0.0028,0.0011,0.0112,0.006,9e-04
"RNF223",3e-04,4e-04,0,0,2e-04,1e-04,0,4e-04,0
"C1orf159",0.0075,0.0176,0.0081,0.0056,0.0103,0.0045,0.0112,0.0041,0.0053
"TTLL10",2e-04,0.0074,0.0016,0,6e-04,0,1e-04,3e-04,0.0012
"TNFRSF18",0.2488,0.3338,0.3349,0.2098,0.3119,0.2235,0.2877,0.1441,0.3765
"TNFRSF4",0.1273,0.1782,0.2088,0.1369,0.175,0.1342,0.3969,0.0758,0.1917
"SDF4",0.3055,0.3602,0.3405,0.3824,0.3636,0.3976,0.364,0.2755,0.4209
"B3GALT6",0.0258,0.0272,0.0272,0.0087,0.0267,0.0074,0.0235,0.0118,0.023
"C1QTNF12",0.001,6e-04,0.0017,8e-04,0.0014,0,0.0046,0.001,0.0013
"UBE2J2",0.0923,0.0793,0.0862,0.098,0.0946,0.1074,0.1024,0.0835,0.1177
"SCNN1D",0.0013,0.0017,0.0018,2e-04,0.0021,6e-04,0,7e-04,0.0024
"ACAP3",0.0495,0.0446,0.0335,0.0246,0.0603,0.0275,0.0209,0.0266,0.062
