"gene","PC_C1_TXNDC5","PC_C2_GMDS","PC_C3_IGHGP","PC_C4_CD79A","PC_C5_HSPA1A","PC_C6_SELK","PC_C7_HLA-DRA","PC_C8_IGHG","PC_C9_IGHA"
"FAM87B",0.01,0.14,0.06,0,0.11,0,0,0,0.22
"FAM41C",0.84,1.63,1.49,0.12,0.46,0.28,0.06,0.52,0.66
"SAMD11",2.57,3.01,2.55,0.69,2.18,0.7,0.43,0.7,12.11
"NOC2L",20.74,19.64,16.26,13.97,18.36,13.64,11.73,10.04,25.99
"KLHL17",2.01,1.57,1.37,0.37,2.45,0.33,0.3,0.67,3.08
"PLEKHN1",6.37,7.57,5.5,3.4,6.39,3.56,1.34,1.82,14.76
"HES4",1.87,1.4,2.08,0.59,3.14,0.89,2.92,2.59,1.76
"ISG15",37.36,18.72,19.48,42.39,47.55,40.51,9.05,22.68,28.41
"AGRN",0.54,0.76,0.59,0.31,0.57,0.23,0.61,0.96,0.44
"RNF223",0.08,0.09,0.02,0,0.04,0.05,0,0.11,0
"C1orf159",2.05,5.39,2.79,1.31,2.37,1.03,0.61,0.7,2.42
"TTLL10",0.06,2.72,0.69,0,0.19,0,0.06,0.07,0.66
"TNFRSF18",38.69,64.54,55.99,31.25,42.16,32.4,15.37,14.57,50.66
"TNFRSF4",25.89,44.39,40.4,23.24,29.53,22.32,18.83,8.93,33.7
"SDF4",57.72,74.34,61.82,56.64,56.27,56.17,19.99,34.17,69.16
"B3GALT6",7.94,10.13,8.15,1.81,6.73,1.55,1.58,1.7,7.93
"C1QTNF12",0.27,0.25,0.27,0.12,0.19,0,0.24,0.07,0.66
"UBE2J2",24.92,27.05,24.25,20.02,21.12,20.3,6.32,12.19,31.5
"SCNN1D",0.4,0.71,0.53,0.06,0.46,0.09,0,0.15,0.66
"ACAP3",14.18,15.12,10.55,5.02,12.97,5.25,1.46,4.15,16.74
"PUSL1",11.3,11.68,11.17,6.92,9.76,7.08,1.34,4.89,15.42
"INTS11",19.89,21.65,19.5,17.37,18.97,15.52,9.54,1.82,24.89
"CPTP",15.6,12.15,11.53,10.14,14,12.75,1.03,5.23,18.94
"TAS1R3",13.37,15.13,12.47,5.27,10.83,5.58,0.73,4.19,12.56
"DVL1",10.5,12.08,10.17,1.62,8.88,2.3,0.79,2.04,9.47
"MXRA8",0.66,2.15,1.43,0.12,0.92,0.33,0.18,1.41,1.54
"AURKAIP1",70.66,79.89,69.54,64.63,68.4,64.6,10.63,47.37,72.47
"CCNL2",32.09,39.52,31.01,16.84,32.94,16.13,21.02,12.19,38.77
"MRPL20-AS1",3.96,0.31,1.37,2.68,3.02,1.88,1.52,0.33,6.61
"MRPL20",59.77,78.05,66.63,52.53,56.58,52.32,14.82,36.25,66.74
"ANKRD65",0.03,0.07,0.16,0.09,0.04,0.05,0.12,0.11,0
"VWA1",0.47,0.43,0.73,0.06,0.38,0.09,0.55,1.33,0.44
"ATAD3C",20.45,26.38,20.72,16.5,16.53,14.72,0.91,6.26,24.45
"ATAD3B",7.56,15.24,8.92,2.37,6.04,1.73,2.25,2.67,9.25
"ATAD3A",9.82,12.45,9.51,3.46,8.3,2.63,2.13,3.63,15.64
"TMEM240",0.06,0.1,0.02,0,0,0,0,0,0
"SSU72",49.28,59.32,51.1,43.48,44.07,41.68,12.52,26.69,56.17
"FNDC10",0.09,0.21,0.27,0,0,0,0,0.15,0.22
"MIB2",16.7,24.38,20.35,9.05,15.65,8.44,3.16,7.34,18.28
"MMP23B",2.15,3.65,3.16,0.72,1.87,1.17,0.12,0.89,4.63
"CDK11B",15.48,32.86,21.66,10.45,15.34,8.58,8.99,6.19,17.4
"SLC35E2B",10.82,21.33,13.18,3.68,10.33,4.31,5.83,7.45,13.22
"CDK11A",15.3,28.91,20.42,10.2,16.18,8.67,17.44,6.75,23.57
"SLC35E2A",3.25,8.09,4.77,1.34,3.1,0.89,3.1,0.48,3.52
"NADK",12.03,17.55,12.1,6.55,10.33,6.33,4.01,5.15,16.08
"GNB1",32.73,83.91,56.68,11.32,29.27,8.91,9.9,10.79,37
"CALML6",0.05,0.29,0.12,0,0.08,0,0.06,0,0
"CFAP74",0.07,0.29,0.2,0,0.04,0,0.06,0.11,0
"GABRD",0.18,0.14,0.04,0.12,0.19,0,0,0,0.22
"PRKCZ",4.41,12.77,7.25,2.87,5.39,2.2,1.58,2.26,4.19
"PRKCZ-AS1",0.07,0.1,0.06,0,0.04,0,0,0,0.22
"FAAP20",31.39,40.82,32.93,31.63,29.69,32.58,5.35,16.6,35.02
"SKI",7.1,34.77,18.89,1.93,7.08,1.83,10.21,1.78,10.79
"MORN1",1.53,6.29,2.85,0.84,1.53,0.75,0.61,0.67,0.44
"RER1",61.48,79.33,64.69,53.96,53.94,52.56,8.51,38.18,63.22
"PEX10",8.09,15.69,10.8,6.92,7.35,7.64,0.97,4.04,6.83
"PLCH2",0.69,1.17,0.86,0.37,0.77,0.52,0.36,0.33,1.76
"PANK4",4.09,3.53,2.79,2.37,3.67,1.78,1.34,1.52,5.73
"HES5",0.66,1.58,1.41,0.06,0.57,0.09,0,0,0.88
"TNFRSF14-AS1",7.24,9.57,7.31,3.49,5.09,3.47,1.4,0.82,6.61
"TNFRSF14",39.32,40.28,38.2,39.18,39.36,35.86,12.15,19.16,47.14
"PRXL2B",2.25,0.19,0.69,1.34,1.49,1.64,0.73,0.22,2.42
"MMEL1",0.06,0.1,0.04,0,0.04,0.05,0,0.11,0
"TTC34",0.26,0.32,0.1,0.03,0.04,0.05,0.06,0.07,0.22
"PRDM16-DT",0.01,0,0,0,0,0,0,0,0
"PRDM16",0.04,0.32,0.08,0.03,0.04,0.05,0.06,0.04,0
"ARHGEF16",0.52,2,1.3,0.12,0.38,0.05,0.12,0.44,0.88
"MEGF6",0.41,2.3,1.59,0.25,0.27,0.14,0.43,0.11,0.66
"TPRG1L",13.44,20.79,15.95,3.15,12.66,2.77,1.52,3.93,14.76
"WRAP73",9.46,10.75,9.72,7.67,10.25,8.35,3.89,3.71,13.44
"TP73",2.41,8.63,4.58,1.84,2.6,1.45,0.67,0.85,3.96
"SMIM1",15.42,28.67,22.74,11.42,13.08,10.97,0.67,8.52,14.76
"LRRC47",12.78,13.18,10.64,9.86,12.05,10.03,6.44,5.37,22.69
"CEP104",12,20.16,13.79,7.3,10.06,7.92,9.3,3.45,13.44
"DFFB",2.36,4.9,2.91,1.15,2.3,1.03,1.28,0.63,2.64
"C1orf174",9.13,10.04,8.5,6.18,8.3,4.83,2.67,4.08,11.01
