"gene","CD4T_C1_CCR7_Tn","CD4T_C2_FOXP3_Treg","CD4T_C3_BACH2","CD4T_C4_CXCL13","CD4T_C5_TOX","CD4T_C6_ISG15","CD8T_C1_HSPA1A","CD8T_C2_GZMK","CD8T_C3_PDCD1","CD8T_C4_XCL1","CD8T_C5_ISG15","CD8T_C6_TOX","CD8T_C7_MKI67","NK_C1_FCGR3A","NK_C2_XCL1","NK_C3_HSPA1A","NK_C4_CX3CR1","NK_C5_KLRC2","NK_C6_NFKB1A","NK_C7_ISG15","NK_C8_CREM"
"FAM87B",2e-04,0,5e-04,2e-04,3e-04,0,3e-04,2e-04,3e-04,4e-04,3e-04,0.0011,1e-04,2e-04,4e-04,6e-04,6e-04,0.0012,8e-04,0,0
"FAM41C",0.0066,0.006,0.0063,0.0054,0.0075,0.005,0.0058,0.0057,0.0063,0.0065,0.0048,0.007,0.0076,0.0092,0.0078,0.0083,0.0073,0.0082,0.0098,0.0074,0.0021
"SAMD11",6e-04,0.0011,8e-04,0.0025,0.0022,0.0014,8e-04,5e-04,0.0012,8e-04,5e-04,0.0015,0.0036,4e-04,9e-04,8e-04,0.0011,8e-04,0.0049,8e-04,0
"NOC2L",0.1459,0.1783,0.1087,0.1967,0.1228,0.1699,0.1177,0.1464,0.1686,0.1558,0.1461,0.1183,0.182,0.1517,0.1671,0.1344,0.1202,0.1239,0.181,0.1548,0.1955
"KLHL17",0.0087,0.0115,0.01,0.0121,0.0116,0.0102,0.0134,0.0137,0.0135,0.0141,0.0133,0.0136,0.0146,0.016,0.018,0.0177,0.0119,0.0063,0.0111,0.0176,0.0017
"PLEKHN1",0.0118,0.026,0.0162,0.0163,0.027,0.0378,0.0125,0.0085,0.0153,0.0151,0.0238,0.0127,0.0105,0.0028,0.0238,0.005,0.0034,0.0139,0.0504,0.0256,0.0076
"HES4",0.0689,0.0957,0.0311,0.1152,0.0368,0.1411,0.0554,0.0362,0.0434,0.0768,0.061,0.0232,0.0838,0.0914,0.1231,0.1698,0.0953,0.0467,0.1,0.1205,0.0942
"ISG15",0.5419,0.9665,0.309,0.8427,0.5245,3.0391,0.7099,0.7108,0.8914,0.8484,2.6119,0.3786,1.0429,0.6462,0.8038,0.7492,0.5175,0.4534,0.709,2.7767,0.4447
"AGRN",0.0043,0.0091,0.0042,0.0111,0.0057,0.0163,0.0072,0.0072,0.0128,0.0095,0.0181,0.003,0.0145,0.0071,0.014,0.0088,0.0073,0.0065,0.0139,0.0272,0.0043
"RNF223",3e-04,4e-04,1e-04,4e-04,6e-04,4e-04,3e-04,2e-04,1e-04,3e-04,1e-04,1e-04,6e-04,0,1e-04,2e-04,0,0,0,0,0
"C1orf159",0.0174,0.0268,0.0546,0.0238,0.0495,0.0292,0.0251,0.0216,0.039,0.0253,0.0264,0.0536,0.0482,0.0266,0.0248,0.031,0.0549,0.0505,0.0187,0.0313,0.0166
"TTLL10",0.0025,0.0013,0.0021,7e-04,0.0031,0,7e-04,7e-04,6e-04,0.0017,5e-04,9e-04,0.0029,4e-04,0.0338,0.0028,0.0015,0.049,0.0876,0.0126,0
"TNFRSF18",0.232,1.342,0.0963,0.9437,0.6449,1.2304,0.1038,0.0529,0.3051,0.1288,0.1432,0.0572,0.3919,0.2178,0.8372,0.2441,0.19,0.5315,1.3315,0.3699,0.238
"TNFRSF4",0.3744,1.3625,0.1374,0.9784,0.6354,1.2913,0.0913,0.0411,0.0986,0.0411,0.1573,0.0432,0.272,0.1017,0.1263,0.106,0.0852,0.1057,0.6015,0.0932,0.1388
"SDF4",0.3237,0.5767,0.1922,0.5211,0.3445,0.5991,0.2747,0.2723,0.3522,0.3231,0.347,0.1813,0.4087,0.4083,0.3775,0.3664,0.3117,0.2861,0.41,0.4027,0.4137
"B3GALT6",0.065,0.0686,0.0347,0.0771,0.0474,0.0528,0.0348,0.0477,0.0578,0.061,0.0447,0.0367,0.0614,0.0685,0.0814,0.0615,0.0484,0.0561,0.0931,0.0465,0.0342
"C1QTNF12",0.0013,0.0023,0.0025,0.0028,0.0012,0.0015,0.0014,0.0014,0.0023,0.0021,0.0017,0.0023,0.0019,0.0042,0.0045,0.0028,0.0029,0.0041,0.003,0.0015,0.0032
"UBE2J2",0.1362,0.2077,0.123,0.2018,0.1465,0.2463,0.1313,0.1534,0.2064,0.1711,0.1761,0.1475,0.2667,0.1849,0.1819,0.1578,0.1637,0.17,0.1422,0.1856,0.1069
"SCNN1D",0.0031,0.002,0.0047,0.0031,0.0037,0.0018,0.0033,0.0028,0.0026,0.0038,0.002,0.0035,0.0029,0.0058,0.0029,0.0052,0.0031,0.0036,0.0038,0.0025,0
"ACAP3",0.0318,0.035,0.0351,0.038,0.0319,0.0393,0.035,0.0389,0.0372,0.0429,0.0393,0.0315,0.0604,0.0416,0.0398,0.0481,0.0383,0.0307,0.0462,0.0347,0.0256
"PUSL1",0.0547,0.0531,0.0231,0.0586,0.0216,0.0483,0.0393,0.0482,0.0483,0.0584,0.049,0.0221,0.087,0.0479,0.0536,0.0383,0.0321,0.0302,0.0491,0.0487,0.0435
"INTS11",0.0983,0.1142,0.081,0.1258,0.0911,0.0689,0.1026,0.1074,0.117,0.1208,0.0765,0.0937,0.1478,0.1287,0.1363,0.1256,0.0981,0.1026,0.1165,0.1046,0.1463
"CPTP",0.0334,0.0451,0.0186,0.0512,0.0258,0.0566,0.0315,0.0378,0.041,0.0437,0.0454,0.0202,0.0571,0.0372,0.0417,0.0303,0.0212,0.0285,0.0403,0.0478,0.0307
"TAS1R3",0.001,9e-04,0.0013,8e-04,0.001,0.001,0.001,0.0013,0.0014,0.0014,7e-04,0.001,0.0017,0.0023,8e-04,7e-04,5e-04,0.0011,0.0011,0.0025,0.0014
"DVL1",0.0254,0.0221,0.0249,0.0236,0.0178,0.0185,0.0242,0.0239,0.0229,0.0254,0.0229,0.0212,0.0234,0.03,0.0296,0.033,0.026,0.0219,0.0322,0.0274,0.0049
"MXRA8",0.0039,0.0057,0.0078,0.0043,0.0095,0.0039,0.0045,0.0042,0.0046,0.0035,0.0038,0.0072,0.0104,0.0057,0.0064,0.005,0.0059,0.0019,0.0073,0.0127,0.0027
"AURKAIP1",0.4065,0.5598,0.2592,0.5321,0.2928,0.612,0.3916,0.464,0.502,0.508,0.5199,0.305,0.7735,0.5205,0.5204,0.4531,0.363,0.3412,0.5136,0.571,0.4402
"CCNL2",0.2244,0.2523,0.224,0.2698,0.2585,0.2213,0.2217,0.2409,0.2522,0.247,0.2368,0.1891,0.2046,0.2409,0.2461,0.2399,0.2019,0.1923,0.263,0.2332,0.1712
"MRPL20-AS1",0.0198,0.0243,0.0212,0.0275,0.0257,0.0167,0.0161,0.0217,0.031,0.0259,0.0186,0.0257,0.0279,0.0304,0.0281,0.0222,0.0336,0.0452,0.0306,0.0305,0.046
"MRPL20",0.408,0.5171,0.3558,0.5126,0.3826,0.5739,0.3513,0.4379,0.5057,0.4843,0.5053,0.4039,0.6512,0.4546,0.4904,0.3751,0.3825,0.4244,0.4389,0.5024,0.4008
"ANKRD65",0.001,0.0011,2e-04,6e-04,4e-04,3e-04,8e-04,7e-04,7e-04,8e-04,9e-04,5e-04,0.0034,0.0017,7e-04,0.0014,5e-04,5e-04,0,0.0022,0
"VWA1",0.0028,0.0029,0.0045,0.0014,0.0035,0.0027,0.0031,0.003,0.0041,0.0037,0.0019,0.0055,0.0095,0.0038,0.0076,0.0059,0.0086,0.008,0.004,0.0034,0.0078
"ATAD3C",0.0077,0.0118,0.0064,0.0086,0.0084,0.0114,0.0059,0.0062,0.0066,0.0062,0.0049,0.0056,0.0091,0.0086,0.0141,0.0079,0.0037,0.0082,0.0131,0.0084,0.0045
"ATAD3B",0.0428,0.0439,0.0499,0.0436,0.0455,0.0486,0.043,0.04,0.0463,0.0493,0.0414,0.0414,0.0666,0.0404,0.0513,0.0431,0.0587,0.0531,0.0498,0.0468,0.0372
"ATAD3A",0.0239,0.0343,0.0208,0.0344,0.025,0.0315,0.0235,0.0257,0.0349,0.0325,0.027,0.0233,0.1004,0.0268,0.0392,0.0349,0.0324,0.0316,0.0333,0.0294,0.0131
"TMEM240",6e-04,6e-04,0.0015,7e-04,5e-04,0,8e-04,0.0011,0.0012,9e-04,0.001,0.0016,0.0013,8e-04,0.0013,0.0016,0.0017,0.0019,6e-04,0.0012,0
"SSU72",0.4457,0.5334,0.3327,0.536,0.3547,0.585,0.4087,0.4669,0.4724,0.5122,0.4872,0.346,0.5357,0.4678,0.4944,0.4279,0.3578,0.3669,0.421,0.5088,0.4152
"FNDC10",0.0061,0.0028,0.005,0.0068,0.0046,5e-04,0.0028,0.0026,0.0026,0.0039,0.0027,0.0046,0.0154,0.0076,0.0059,0.0056,0.0055,0.008,0.0059,0.0023,0
"MIB2",0.1082,0.0983,0.1001,0.1199,0.0787,0.0884,0.1405,0.1511,0.1666,0.1469,0.1353,0.1442,0.1355,0.2711,0.1965,0.2314,0.2589,0.1944,0.1503,0.1798,0.1191
"MMP23B",0.0035,0.0019,0.0061,0.0032,0.0024,0.0033,0.0158,0.0172,0.0281,0.0164,0.0111,0.0241,0.0118,0.1365,0.0498,0.0988,0.0851,0.0472,0.0192,0.0391,0.045
"CDK11B",0.1428,0.1663,0.2392,0.179,0.2107,0.1895,0.1614,0.1713,0.2219,0.1853,0.196,0.2511,0.252,0.1685,0.1832,0.1789,0.2823,0.2639,0.1709,0.2027,0.1627
"SLC35E2B",0.0651,0.086,0.1004,0.0896,0.1002,0.0905,0.0815,0.0841,0.1057,0.0869,0.0921,0.0936,0.0794,0.0803,0.0825,0.0686,0.0933,0.0831,0.0619,0.0913,0.0553
"CDK11A",0.1822,0.2077,0.2945,0.2279,0.2759,0.2043,0.194,0.2183,0.2655,0.2297,0.2431,0.2746,0.2238,0.2222,0.2055,0.2036,0.2668,0.2365,0.1926,0.2457,0.2121
"SLC35E2A",0.0199,0.0224,0.0659,0.0212,0.0696,0.0126,0.0186,0.0199,0.0375,0.0213,0.0198,0.0522,0.0258,0.0303,0.0208,0.0247,0.0505,0.0517,0.0242,0.025,0.0341
"NADK",0.0378,0.0558,0.0478,0.0633,0.0569,0.0818,0.0422,0.0433,0.0611,0.0549,0.0724,0.0479,0.0921,0.0798,0.0635,0.0591,0.0876,0.0569,0.0616,0.0974,0.0521
"GNB1",0.2963,0.3476,0.7363,0.3802,0.6917,0.302,0.2924,0.3104,0.5136,0.3892,0.3332,0.7134,0.526,0.3852,0.3639,0.3797,0.8035,0.7585,0.3747,0.3666,0.186
"CALML6",1e-04,1e-04,1e-04,1e-04,2e-04,0,2e-04,1e-04,3e-04,2e-04,3e-04,0,3e-04,0,3e-04,4e-04,0.0011,7e-04,3e-04,0,0
"CFAP74",3e-04,5e-04,0.0015,4e-04,7e-04,0.0012,3e-04,4e-04,8e-04,5e-04,4e-04,0.0016,3e-04,8e-04,3e-04,1e-04,6e-04,0,4e-04,0,0
"GABRD",7e-04,8e-04,9e-04,0.0012,0.0015,4e-04,0.001,9e-04,6e-04,0.001,3e-04,0.0011,0.0012,6e-04,0.0012,8e-04,0.002,5e-04,9e-04,0,0
"PRKCZ",0.0332,0.0672,0.0829,0.0515,0.1022,0.0604,0.0559,0.0495,0.0895,0.0603,0.0492,0.0989,0.0601,0.0323,0.0592,0.0415,0.0549,0.097,0.0534,0.0307,0.0236
"PRKCZ-AS1",8e-04,4e-04,0.001,0.001,0.0018,4e-04,0.001,7e-04,0.0012,0.0011,4e-04,0.0016,0.001,7e-04,0.0014,0.0013,7e-04,0.001,0.0017,4e-04,0
"FAAP20",0.2118,0.2766,0.1668,0.3104,0.1657,0.306,0.2307,0.2472,0.2787,0.2673,0.2796,0.1849,0.3678,0.263,0.2694,0.2412,0.202,0.2096,0.2136,0.2849,0.2268
"SKI",0.2007,0.1328,0.4138,0.1567,0.2822,0.0999,0.2044,0.2226,0.2039,0.2968,0.2086,0.2847,0.1724,0.1495,0.3179,0.2027,0.3337,0.4182,0.3135,0.252,0.1942
"MORN1",0.0063,0.0066,0.02,0.0079,0.0222,0.0037,0.0081,0.0063,0.0126,0.009,0.0072,0.0204,0.0159,0.008,0.0092,0.0081,0.0248,0.0272,0.0125,0.0126,0.0105
"RER1",0.2847,0.4397,0.2492,0.4651,0.2921,0.505,0.3128,0.3511,0.4601,0.3837,0.4299,0.3114,0.5894,0.3801,0.357,0.3473,0.2997,0.3169,0.3094,0.4566,0.3127
"PEX10",0.0192,0.0331,0.032,0.0367,0.0319,0.0337,0.0218,0.0202,0.0319,0.0238,0.0235,0.0351,0.0452,0.0193,0.0341,0.0234,0.0352,0.0471,0.0322,0.0322,0.0134
"PLCH2",0.0148,0.0298,0.0214,0.0173,0.0446,0.0309,0.0315,0.0237,0.0362,0.0347,0.0239,0.033,0.0155,0.0255,0.1498,0.0402,0.0325,0.0921,0.0795,0.0558,0.0184
"PANK4",0.0208,0.0352,0.0168,0.0342,0.0266,0.042,0.0318,0.0314,0.0381,0.0305,0.0397,0.0217,0.0494,0.0288,0.03,0.0295,0.0224,0.021,0.0231,0.0374,0.0202
"HES5",1e-04,0,4e-04,2e-04,9e-04,0,4e-04,2e-04,3e-04,2e-04,2e-04,3e-04,0.0015,0.0012,5e-04,0.0015,0.001,5e-04,3e-04,0,0
"TNFRSF14-AS1",0.0157,0.0313,0.0421,0.0152,0.0674,0.0216,0.0288,0.0257,0.0428,0.0341,0.0211,0.0623,0.0306,0.0268,0.0513,0.0305,0.0527,0.1048,0.0715,0.0497,0.0098
"TNFRSF14",0.4102,0.5664,0.2567,0.4742,0.3598,0.7119,0.3596,0.3945,0.4302,0.3333,0.5455,0.261,0.3363,0.4681,0.2463,0.4222,0.3196,0.1802,0.2312,0.472,0.3639
"PRXL2B",0.0107,0.0219,0.0178,0.0162,0.0276,0.0117,0.0093,0.0096,0.016,0.0118,0.0117,0.0171,0.0193,0.0092,0.0168,0.0081,0.0126,0.0233,0.019,0.0189,0.0098
"MMEL1",0.0017,0.011,0.0018,0.0037,0.0094,0.016,0.0014,0.0014,0.0026,0.001,0.001,0.002,0.0036,0.0014,9e-04,0.0018,0.0019,0.0033,0.0049,0.0029,0
"TTC34",0.0017,0.0014,0.0038,0.0011,0.0026,0.0013,0.0013,0.0013,0.0024,0.0013,9e-04,0.0037,0.0017,0.0039,0.0026,0.002,0.006,0.0026,0.006,0.0026,0
"PRDM16-DT",1e-04,1e-04,2e-04,1e-04,7e-04,0,0,0,1e-04,0,2e-04,1e-04,1e-04,0,0,2e-04,2e-04,7e-04,8e-04,0,0
"PRDM16",3e-04,3e-04,0.0013,2e-04,0.0011,4e-04,3e-04,2e-04,7e-04,7e-04,0,0.0021,0.0014,5e-04,9e-04,0,0.003,0.0063,0.004,5e-04,0
"ARHGEF16",7e-04,6e-04,8e-04,7e-04,2e-04,0,8e-04,6e-04,5e-04,4e-04,5e-04,8e-04,0.0043,9e-04,2e-04,0.0014,9e-04,0,4e-04,0,0
"MEGF6",0.0238,0.0234,0.0356,0.0095,0.0485,0.025,0.0205,0.0139,0.0104,0.0139,0.013,0.0233,0.0144,0.002,0.0133,0.0031,0.0051,0.0089,0.0098,0.0016,0.0014
"TPRG1L",0.0601,0.0581,0.0576,0.0705,0.0496,0.0412,0.0452,0.055,0.0536,0.0634,0.0484,0.0503,0.0439,0.0778,0.057,0.0711,0.0698,0.0499,0.0552,0.0473,0.0465
"WRAP73",0.0642,0.1032,0.0531,0.1004,0.0765,0.1186,0.0764,0.0785,0.11,0.081,0.0879,0.0664,0.1166,0.0862,0.0856,0.0777,0.058,0.0631,0.0725,0.0809,0.09
"TP73",8e-04,0.008,0.0028,0.0086,0.0128,0.0059,0.0035,0.0029,0.0221,0.0051,0.0035,0.0082,0.051,3e-04,0.001,5e-04,9e-04,0.001,8e-04,0.0034,0.0055
"SMIM1",0.0096,0.0136,0.0075,0.0188,0.0069,0.0201,0.0075,0.007,0.0091,0.0104,0.0073,0.0061,0.0417,0.0101,0.0296,0.0059,0.0045,0.0222,0.014,0.0204,0.007
"LRRC47",0.0625,0.0993,0.0602,0.1025,0.0758,0.1141,0.0778,0.0929,0.1053,0.0968,0.1091,0.0745,0.1237,0.0779,0.1031,0.0823,0.0748,0.093,0.0879,0.0916,0.1149
"CEP104",0.0644,0.087,0.1055,0.0896,0.1155,0.0869,0.067,0.0746,0.1038,0.0894,0.0861,0.1047,0.0982,0.0831,0.0944,0.0744,0.108,0.1311,0.0789,0.1087,0.1008
"DFFB",0.0144,0.0198,0.0418,0.0179,0.0336,0.0231,0.0216,0.0175,0.0274,0.0203,0.0216,0.0408,0.0225,0.0267,0.0255,0.0267,0.0577,0.0666,0.0173,0.0273,0.0122
"C1orf174",0.073,0.0834,0.0559,0.1038,0.0503,0.0875,0.0853,0.0937,0.0941,0.097,0.0936,0.0639,0.1572,0.2002,0.1322,0.1603,0.1295,0.0937,0.0982,0.126,0.109
"AJAP1",2e-04,4e-04,0.0014,1e-04,0.001,3e-04,3e-04,2e-04,5e-04,2e-04,0,0.0014,8e-04,3e-04,4e-04,7e-04,4e-04,5e-04,7e-04,5e-04,0
"NPHP4",0.0112,0.0134,0.0308,0.0129,0.0355,0.0075,0.0113,0.0107,0.0209,0.0118,0.0133,0.0277,0.0276,0.0112,0.0082,0.0123,0.036,0.0235,0.0108,0.0134,0.0132
"KCNAB2",0.1732,0.2586,0.3233,0.2341,0.4089,0.2889,0.2133,0.233,0.3258,0.2475,0.2402,0.3758,0.337,0.2618,0.2132,0.2462,0.4643,0.3571,0.1701,0.2876,0.1955
"CHD5",3e-04,4e-04,9e-04,2e-04,0.0015,0,4e-04,3e-04,7e-04,4e-04,0.001,0.0014,0.0023,5e-04,2e-04,6e-04,0.0013,4e-04,0.001,0,0
"RNF207",0.0158,0.0293,0.0149,0.0293,0.0318,0.0236,0.0071,0.0046,0.0164,0.0057,0.0127,0.0102,0.0122,0.002,0.008,0.0023,0.0021,0.0075,0.0402,0.0113,0.0016
"ICMT",0.0385,0.0636,0.0289,0.0633,0.0452,0.0751,0.0402,0.05,0.0653,0.0563,0.0562,0.0333,0.1585,0.0563,0.0507,0.043,0.0392,0.0373,0.0448,0.0669,0.0609
"GPR153",5e-04,6e-04,0.0025,0.0015,0.003,0.0014,0.002,0.0026,0.0043,0.0039,0.002,0.011,0.0037,0.0254,0.0106,0.0205,0.0315,0.0245,0.0146,0.0061,0.0026
