"gene","CD4T_C1_CCR7_Tn","CD4T_C2_FOXP3_Treg","CD4T_C3_BACH2","CD4T_C4_CXCL13","CD4T_C5_TOX","CD4T_C6_ISG15","CD8T_C1_HSPA1A","CD8T_C2_GZMK","CD8T_C3_PDCD1","CD8T_C4_XCL1","CD8T_C5_ISG15","CD8T_C6_TOX","CD8T_C7_MKI67","NK_C1_FCGR3A","NK_C2_XCL1","NK_C3_HSPA1A","NK_C4_CX3CR1","NK_C5_KLRC2","NK_C6_NFKB1A","NK_C7_ISG15","NK_C8_CREM"
"FAM87B",0.02,0,0.04,0.02,0.03,0,0.02,0.01,0.03,0.04,0.03,0.08,0.01,0.01,0.03,0.04,0.04,0.1,0.07,0,0
"FAM41C",0.5,0.52,0.6,0.46,0.74,0.42,0.41,0.4,0.51,0.53,0.37,0.54,0.89,0.63,0.61,0.59,0.61,0.73,0.76,0.6,0.17
"SAMD11",0.04,0.09,0.08,0.2,0.23,0.12,0.05,0.04,0.1,0.06,0.04,0.11,0.36,0.03,0.08,0.06,0.08,0.1,0.38,0.05,0
"NOC2L",10.88,13.75,8.81,15.45,10.21,13.95,8.34,9.63,13.17,11.97,11.23,8.48,20.12,9.67,12.3,9.24,8.97,9.48,13.62,11.81,12
"KLHL17",0.67,0.94,0.84,1.04,1.08,0.85,0.98,0.92,1.12,1.11,1.05,1.02,1.75,1.09,1.4,1.23,0.95,0.5,0.83,1.43,0.08
"PLEKHN1",0.91,2.13,1.32,1.39,2.49,3.34,0.91,0.58,1.22,1.21,1.83,0.93,1.2,0.18,1.84,0.36,0.27,1.2,3.71,2.09,0.42
"HES4",4.72,6.28,2.41,7.89,2.87,9.7,3.48,2.31,3.17,5.44,4.26,1.58,6.78,5.17,7.93,9.66,6.27,3.14,7.11,8.07,5.16
"ISG15",32.25,51.04,22.6,45.96,37.23,95.72,37.5,36.47,49.12,46.35,89.25,24.6,59.34,35.9,44.58,41.35,32.47,30.27,37.64,94.56,24.09
"AGRN",0.31,0.75,0.34,0.92,0.49,1.43,0.5,0.47,1.03,0.76,1.36,0.23,1.68,0.49,1.12,0.62,0.55,0.53,1.14,2.2,0.25
"RNF223",0.02,0.03,0.01,0.02,0.05,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.07,0,0.01,0.01,0,0,0,0,0
"C1orf159",1.32,2.13,4.41,1.98,4.44,2.52,1.8,1.43,3.25,1.98,2.04,3.75,5.7,1.79,1.88,2.09,4.08,3.94,1.49,2.75,1.1
"TTLL10",0.2,0.1,0.18,0.07,0.31,0,0.06,0.04,0.05,0.13,0.04,0.05,0.34,0.02,2.52,0.15,0.1,4.01,6.31,0.88,0
"TNFRSF18",15.3,61.49,7.61,50.65,39.49,61.07,6.67,3.1,17.85,8.43,9.38,3.83,24.7,12.21,43.56,14,12.72,30.27,65.93,20.54,12.76
"TNFRSF4",21.96,59.83,10.12,50.68,39.08,59.19,5.77,2.42,7.09,3.04,9.67,3.18,16.53,6.03,8.62,6.48,6.07,8.51,33.73,6.7,7.52
"SDF4",22.66,38.78,15.81,36.87,27.41,42.33,18.76,17.43,25.87,23.53,25.06,13.28,38.25,24.95,26.66,23.89,22.43,21.83,28.73,29.49,24.6
